DropId,Weight,Result,IsEnd
int32,int32,int32,bool
掉落组,分组权重,结果,是否结束
201,60,2011,false
201,510,2012,false
201,9430,2013,false
2011,1,1042,true
2011,1,1041,true
2011,1,1035,true
2011,1,1016,true
2011,1,1003,true
2011,1,15502,true
2011,1,15501,true
2011,1,14502,true
2011,1,14501,true
2011,1,13505,true
2011,1,13502,true
2011,1,12502,true
2011,1,12501,true
2011,1,11502,true
2011,1,11501,true
2012,1,1065,true
2012,1,1064,true
2012,1,1056,true
2012,1,1055,true
2012,1,1053,true
2012,1,1050,true
2012,1,1048,true
2012,1,1045,true
2012,1,1044,true
2012,1,1043,true
2012,1,1039,true
2012,1,1036,true
2012,1,1034,true
2012,1,1032,true
2012,1,1031,true
2012,1,1027,true
2012,1,1025,true
2012,1,1024,true
2012,1,1023,true
2012,1,1021,true
2012,1,1020,true
2012,1,1015,true
2012,1,1014,true
2012,1,1006,true
2012,1,15405,true
2012,1,15403,true
2012,1,15402,true
2012,1,15401,true
2012,1,14409,true
2012,1,14403,true
2012,1,14402,true
2012,1,14401,true
2012,1,13407,true
2012,1,13401,true
2012,1,12405,true
2012,1,12403,true
2012,1,12402,true
2012,1,12401,true
2012,1,11405,true
2012,1,11403,true
2012,1,11402,true
2012,1,11401,true
2013,1,15304,true
2013,1,15302,true
2013,1,15301,true
2013,1,14304,true
2013,1,14302,true
2013,1,14301,true
2013,1,13303,true
2013,1,12305,true
2013,1,12302,true
2013,1,12301,true
2013,1,11306,true
2013,1,11302,true
2013,1,11301,true
