DropId,Weight,Result,IsEnd
int32,int32,int32,bool
掉落组,分组权重,结果,是否结束
300,60,3001,false
300,510,3002,false
300,9430,3003,false
3001,50,30011,false
3001,50,30012,false
30011,1,1042,true
30011,1,1041,true
30011,1,1035,true
30011,1,1016,true
30011,1,1003,true
30012,1,1022,true
3002,50,30021,false
3002,50,30022,false
30021,1,1065,true
30021,1,1064,true
30021,1,1056,true
30021,1,1055,true
30021,1,1053,true
30021,1,1050,true
30021,1,1048,true
30021,1,1045,true
30021,1,1044,true
30021,1,1043,true
30021,1,1039,true
30021,1,1036,true
30021,1,1034,true
30021,1,1032,true
30021,1,1027,true
30021,1,1025,true
30021,1,1024,true
30021,1,1020,true
30021,1,15405,true
30021,1,15403,true
30021,1,15402,true
30021,1,15401,true
30021,1,14409,true
30021,1,14403,true
30021,1,14402,true
30021,1,14401,true
30021,1,13407,true
30021,1,13401,true
30021,1,12405,true
30021,1,12403,true
30021,1,12402,true
30021,1,12401,true
30021,1,11405,true
30021,1,11403,true
30021,1,11402,true
30021,1,11401,true
30022,1,1014,true
30022,1,1031,true
30022,1,1023,true
3003,1,15304,true
3003,1,15302,true
3003,1,15301,true
3003,1,14304,true
3003,1,14302,true
3003,1,14301,true
3003,1,13303,true
3003,1,12305,true
3003,1,12302,true
3003,1,12301,true
3003,1,11306,true
3003,1,11302,true
3003,1,11301,true
