分支掉落池id,等级上限,掉落id,产出来源类型
100,1000,21000601,25
101,1000,21000400,25
102,1000,21000500,25
103,1000,21000600,25
104,1000,21000700,25
105,1000,21000701,25
106,1000,21000702,25
107,1000,21000703,25
108,1000,21000704,25
110,1000,21000800,25
111,1000,21000900,25
112,1000,21001000,25
113,1000,21001100,25
114,1000,21000203,25
115,1000,21000501,25
116,1000,21000705,25
117,1000,21000204,25
118,1000,21000205,25
119,1000,21010400,25
130,1000,21010000,25
140,1000,21000000,25
150,1000,21003000,18
151,1000,21003100,18
152,1000,21003200,18
153,1000,21003300,18
154,1000,21003400,25
155,1000,21003500,18
156,1000,21003600,18
157,1000,21003700,18
158,1000,21003800,18
159,1000,21000001,25
160,1000,21000002,25
995,1000,21000201,25
996,1000,21000202,25
997,1000,21000100,18
998,1000,21000200,25
999,1000,21000200,18
