序号	AbilityGroup	目标是否是角色
1	DynamicAbility_RogueDungeon	0
2	Activity_RogueDungeon_Skill_Creature_Water	0
3	Activity_RogueDungeon_Skill_Creature_Ice	0
4	Activity_RogueDungeon_Skill_Creature_Wind	0
5	Activity_RogueDungeon_Skill_Rune_Fire	0
6	Activity_RogueDungeon_Skill_Rune_Electric	0
7	Activity_RogueDungeon_Skill_Rune_Wind	0
8	Activity_RogueDungeon_Skill_Spell_Water	0
9	Activity_RogueDungeon_Skill_Spell_Rock	0
10	Activity_RogueDungeon_Skill_Spell_Elec	0
11	Activity_Rogue_Skill_Test	0
12	ActivityAbility_Rogue_Shikishogun	0
13	Activity_Rogue_ElementAddHurt_SSR	0
14	Activity_Rogue_ElementAddHurt_SR	0
15	Activity_Rogue_ElementReactionAttack_Explode	0
16	Activity_Rogue_ElementReactionAttack_Superconductor	0
17	Activity_Rogue_ElementReactionAttack_Melt	0
18	Activity_Rogue_ElementReactionAttack_Stream	0
19	Activity_Rogue_ElementReactionAttack_Shock	0
20	Activity_Rogue_AreaNoEnemyAtkSpeedUp	0
21	Activity_Rogue_Curse_NoHeal	1
22	Activity_Rogue_NormalAttackDamageUp_R	0
23	Activity_Rogue_ExtraAttackDamageUp_R	0
24	Activity_Rogue_FallingAttackDamageUp_R	0
25	Activity_Rogue_Elemental_ArtDamageUp_R	0
26	Activity_Rogue_DefenceRatio_R	0
27	Activity_Rogue_HighHp_DamageUp_SR	0
28	Activity_Rogue_LowHp_DamageUp_SR	0
29	Activity_Rogue_DamageUp_SubHurtDown_SR	0
30	Activity_Rogue_ElementAddHurt_R	0
31	Activity_Rogue_ElemnentalArt_GenerateBall	0
32	Activity_Rogue_HighStaminaAreaAttack_SR	0
33	Activity_Rogue_DownPhysicalSubHurt_SR	0
34	Activity_Rogue_Curse_ExtraHurt	0
35	Activity_Rogue_CurseEff_Manager	1
36	Activity_Rogue_Elemental_ArtDamageUp_SSR	0
37	Activity_Rogue_ExtraAttackDamageUp_SSR	0
38	Activity_Rogue_NormalAttackDamageUp_SSR	0
39	Activity_Rogue_AtkSpeedUp_SSR	0
40	Activity_Rogue_SprintAreaAttack_SSR	0
41	Activity_Rogue_ShieldOnBeingHitDoDamage_SSR	0
42	Activity_Rogue_OnGainEnergyByBall_SSR	0
43	Activity_Rogue_TEST4_SSR	0
44	Activity_Rogue_DashStaminaReduction_SR	0
45	Activity_Rogue_TEST6_SSR	0
46	Activity_Rogue_TEST7_SSR	0
47	Activity_Rogue_TEST8_SSR	0
48	Activity_Rogue_AreaLesserEnemyAtkSpeedUp	0
