ID	所属关卡	难度	解锁天数	对应watcher	银牌challengeID	金牌challengeID	金牌挑战时长	对应condID	引导任务cond	引导任务ID
1	1	1	5	12012201,12012202	2005017	2005018		2012108	2012013	7269801
2	1	2	5	12012203,12012204	2005017	2005018	75	2012108	2012013	7269801
3	1	3	5		2005017	2005018		2012108	2012013	7269801
4	2	1	6	12012205,12012206	2005017	2005018		2012109	2012014	7269901
5	2	2	6	12012207,12012208	2005017	2005018	75	2012109	2012014	7269901
6	2	3	6		2005017	2005018		2012109	2012014	7269901
7	3	1	7	12012209,12012210	2005017	2005018		2012110	2012015	7272001
8	3	2	7	12012211,12012212	2005017	2005018	75	2012110	2012015	7272001
9	3	3	7		2005017	2005018		2012110	2012015	7272001
10	4	1	8	12012213,12012214	2005017	2005018		2012111	2012016	7272101
11	4	2	8	12012215,12012216	2005017	2005018	75	2012111	2012016	7272101
12	4	3	8		2005017	2005018		2012111	2012016	7272101
