关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1上半场参数	[评价]1参数	[评价]2条件	[评价]2上半场参数	[评价]2参数	[评价]3条件	[评价]3上半场参数	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	怪物等级	是否分路
1	1	1	3310	3	1,90	1,90	3	1,150	1,150	3	1,210	1,210	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100	24	0
2	1	2	3410	3	1,90	1,90	3	1,150	1,150	3	1,210	1,210	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100	24	0
3	1	3	3510	3	1,90	1,90	3	1,150	1,150	3	1,210	1,210	4:100,23:100,24:100	25:100,28:100,29:100	19:100	24	0
4	2	1	3311	3	1,60	1,60	3	1,90	1,90	3	1,180	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100	39	0
5	2	2	3411	2	234101003,3030,20	234101003,3030,20	2	234101003,3030,40	234101003,3030,40	2	234101003,3030,60	234101003,3030,60	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100	39	0
6	2	3	3511	3	1,60	1,60	3	1,90	1,90	3	1,180	1,180	4:100,23:100,24:100	25:100,28:100,29:100	19:100	39	0
7	3	1	3312	3	1,60	1,60	3	1,90	1,90	3	1,180	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100	44	0
8	3	2	3412	3	1,60	1,60	3	1,90	1,90	3	1,180	1,180	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100	44	0
9	3	3	3512	3	1,60	1,60	3	1,90	1,90	3	1,120	1,120	4:100,23:100,24:100	25:100,28:100,29:100	19:100	44	0
10	4	1	3313	3	1,60	1,60	3	1,120	1,120	3	1,180	1,180	4:100,23:100,24:100	25:100,28:100,29:100	6:100,7:100,18:100,35:100	49	0
11	4	2	3413	2	234103003,3024,20	234103003,3024,20	2	234103003,3024,40	234103003,3024,40	2	234103003,3024,60	234103003,3024,60	4:100,23:100,24:100	20:100,21:100	6:100,7:100,17:100,38:100,31:100,34:100	49	0
12	4	3	3513	3	1,60	1,60	3	1,90	1,90	3	1,120	1,120	4:100,23:100,24:100	25:100,28:100,29:100	19:100	49	0
13	5	1	3341	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	6:100,7:100,18:100	54	1
14	5	2	3441	3	1,90	2,90	3	1,180	2,180	3	1,240	2,240	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	6:100,7:100,38:100,34:100	54	1
15	5	3	3541	3	1,180	2,180	3	1,300	2,300	3	1,420	2,420	1:100,2:100,3:100,21:100,24:100	16:100,35:100,36:100,17:100	19:100	54	1
16	6	1	3342	3	1,30	2,30	3	1,60	2,60	3	1,120	2,120	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	59	1
17	6	2	3442	3	1,90	2,90	3	1,180	2,180	3	1,270	2,270	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	59	1
18	6	3	3542	3	1,120	2,120	3	1,240	2,240	3	1,330	2,330	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	19:100	59	1
19	7	1	3343	3	1,120	2,120	3	1,300	2,300	3	1,420	2,420	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,36:100	6:100,7:100,18:100,35:100	64	1
