ID,小游戏ID,统计参数,优先级
1,6001,collect_energy_6001,99
2,6001,complete_timelimit_challenge_6001,98
3,6001,hit_counts_falldown_6001,97
4,6001,defeated_timelimit_challenge_6001,96
5,6002,complete_timelimit_challenge_6002,99
6,6002,defeated_timelimit_challenge_6002,96
7,6002,hit_counts_falldown_6002,97
8,6002,collect_energy_6002,98
9,6003,collect_energy_6003,99
10,6003,complete_timelimit_challenge_6003,98
11,6003,defeated_timelimit_challenge_6003,97
12,6004,complete_timelimit_challenge_6004,99
13,6004,defeated_timelimit_challenge_6004,98
14,6005,collect_energy_6005,99
15,6005,hit_counts_lessthan_5_6005,98
16,6006,collect_energy_6006,99
17,6006,complete_timelimit_challenge_6006,98
18,6006,perfect_complete_timelimit_challenge_6006,97
27,6006,defeated_timelimit_challenge_6006,96
19,6007,collect_energy_6007,99
20,6007,complete_timelimit_challenge_6007,98
21,6007,perfect_complete_timelimit_challenge_6007,97
28,6007,defeated_timelimit_challenge_6007,96
22,6008,collect_energy_6008,99
23,6008,complete_timelimit_challenge_6008,98
24,6008,perfect_complete_timelimit_challenge_6008,97
25,6008,defeated_timelimit_challenge_6008,96
26,6008,fall_down_count_6008,95
