任务全局变量ID	默认值
1001	
1002	-3
1003	0
10001	0
10002	0
10003	0
10004	0
10005	0
10006	0
10007	0
10008	0
10009	0
10010	0
10011	0
10012	0
10013	0
10014	0
301409	0
20000	0
20001	0
20002	0
20009	0
20013	0
20014	0
20015	0
20016	0
40001	0
40002	0
40003	0
40004	0
40005	0
50001	0
50002	0
50003	0
50004	0
50005	0
50006	0
50007	0
40023	0
41410	0
41210	0
41213	0
41610	0
11110	0
72000	0
10120	0
7002404	0
72100	0
11123	0
7211401	1
72123	0
72168	0
72169	0
72170	0
72124	0
1200601	0
1200602	0
12008	0
72122	0
12013	0
72802	0
1202101	0
1202301	0
1202401	0
1202601	0
3002801	0
3002802	0
3002803	0
1202201	0
1201501	0
1201801	0
30026	0
72149	0
72151	0
72165	0
7219901	0
7219902	0
7219903	0
72164	0
202201	0
201701	0
202001	0
72651	0
70661	0
72174	0
22013	0
22017	0
7219801	1
7219802	0
7219803	0
7219804	0
7219805	0
7219806	0
7219807	0
7219808	0
7219809	0
7219810	0
7219811	0
7219812	0
7219813	0
7219814	0
7219815	0
7219816	0
40015	0
72167	0
72658	0
72812	0
7267204	0
72173	0
40026	0
40028	0
40029	0
1905105	0
40035	0
40036	0
40038	0
40039	0
40040	0
71658	0
105301	0
72204	0
72205	0
72206	0
72208	0
72201	0
72202	0
72207	0
72203	0
20003	0
5055	0
72264	0
72675	0
4005116	0
1901901	0
1901902	0
1901903	0
1901904	0
1901905	0
71044	0
7104405	0
4004701	0
71037	0
71054	0
12042	0
72233	0
2002901	0
71831	0
11015	0
72266	0
2100001	0
2001401	0
71071	0
1913101	0
12043	0
11008	0
71055	0
710542169	0
710452617	0
710372616	0
800401	0
800402	0
12035	0
2202501	0
7103901	0
7103902	0
11026	0
7107801	0
7107802	0
4005513	0
4005610	0
4005714	0
4005914	0
71082	0
1914601	0
40064	0
40067	0
40070	0
40073	0
40076	0
40077	0
13003	0
7227801	0
7227901	0
7228001	0
7228101	0
7150601	0
7150201	0
7150701	0
7150301	0
7150801	0
7150401	0
7150901	0
7150501	0
7151001	0
7902312	0
7902212	0
7902205	0
7902303	0
7903305	0
7903306	0
7903307	0
7903304	0
19057	0
1906001	0
1906002	0
1906003	0
1906004	0
1906005	0
1906006	0
1906007	0
1906008	0
1906009	0
70516	0
7051301	0
7051302	0
7051303	0
7051304	0
7051305	0
7051306	0
103106	0
300010	0
300107	0
300209	0
300306	0
300612	0
23002	0
23025	0
2303201	0
7228724	0
3022	0
73018	0
73027	0
73062	0
73026	0
7300007	0
73100	0
73101	0
73102	0
73103	0
1203901	0
73083	0
73110	0
2303202	0
2303203	0
23032	0
7380101	0
73066	0
73674	0
73104	0
73502	0
7318801	0
7318802	0
7318803	0
4007802	0
4008001	0
7052102	0
3028	0
302821	0
1300807	0
73500	0
2302801	0
300011	0
300012	0
300013	0
300014	0
73206	0
2302605	0
2302606	0
2302607	0
2302608	0
2302609	0
2302610	0
2302611	0
302410	0
302617	0
7300907	0
7300908	0
73081	0
73263	0
30032	0
30033	0
73800	0
23011	0
73803	0
23014	0
302110	0
73270	0
23041	0
2304101	0
2304102	0
2304103	0
23042	0
73503	0
73056	0
7321907	0
73193	0
73275	0
73223	0
7327501	0
2303501	0
4008110	0
4008512	0
4008603	0
4008508	0
1301501	0
