ID	配方组ID	加工类型	默认解锁	加工时长	队列上限	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	产出1ID	产出1数量	产出2ID	产出2数量
1001	1	1	1	60	99	100017	1	0	0	0	0	0	0	0	0	110001	1		
1002	4	1	1	180	99	100078	1	0	0	0	0	0	0	0	0	110002	1		
1003	5	1	1	300	99	100064	3	100075	1	0	0	0	0	0	0	110003	1		
1004	6	1	1	300	99	100078	2	0	0	0	0	0	0	0	0	110004	1		
1005	7	1	1	300	99	100061	2	100075	1	0	0	0	0	0	0	110005	1		
1006	8	1	1	180	99	100012	2	0	0	0	0	0	0	0	0	110006	1		
1007	9	1	1	1200	99	100073	4	0	0	0	0	0	0	0	0	100074	1		
1008	10	1	1	600	99	100002	3	100051	2	110006	1	0	0	0	0	110008	1		
1009	11	1	1	600	99	100078	3	0	0	0	0	0	0	0	0	110009	1		
1010	12	1	1	900	99	100061	2	100075	2	0	0	0	0	0	0	110010	1		
1011	13	1	1	1200	99	100061	3	0	0	0	0	0	0	0	0	110011	1		
1012	2	1	1	60	99	100094	1	0	0	0	0	0	0	0	0	100061	1		
1013	3	1	0	60	99	131000	1									100084	1		
1014	3	1	0	60	99	131001	1									100084	1		
1015	3	1	0	60	99	131002	1									100084	1		
1016	3	1	0	60	99	131003	1									100084	1		
1017	3	1	0	60	99	131004	1									100084	1		
1018	3	1	0	60	99	131005	1									100084	1		
1019	3	1	0	120	99	131006	1									100084	2		
1020	3	1	0	120	99	131007	1									100084	2		
1021	3	1	0	120	99	131008	1									100084	2		
1022	3	1	0	120	99	131009	1									100084	2		
1023	3	1	0	120	99	131010	1									100084	2		
1024	3	1	0	180	99	131011	1									100084	3		
1025	3	1	0	180	99	131012	1									100084	3		
1026	3	1	0	120	99	131013	1									100084	2		
1027	3	1	0	120	99	131014	1									100084	2		
1028	3	1	0	120	99	131015	1									100084	2		
1029	3	1	0	120	99	131016	1									100084	2		
1030	3	1	0	120	99	131017	1									100084	2		
1031	3	1	0	180	99	131019	1									100084	3		
1032	3	1	0	180	99	131020	1									100084	3		
1033	3	1	0	180	99	131021	1									100084	3		
1034	3	1	0	180	99	131022	1									100084	3		
1035	3	1	0	120	99	131023	1									100084	2		
1036	3	1	0	120	99	131024	1									100084	2		
1037	3	1	0	120	99	131025	1									100084	2		
1038	3	1	0	120	99	131026	1									100084	2		
1039	3	1	0	120	99	131027	1									100084	2		
1040	3	1	0	120	99	131028	1									100084	2		
1041	14	1	1	60	99	101216	2	0	0	0	0	0	0	0	0	110014	1		
