materialID	[烟花参数]1类型	[烟花参数]1标准值	[烟花参数]1是否可改造	[烟花参数]1改造范围	[烟花参数]2类型	[烟花参数]2标准值	[烟花参数]2是否可改造	[烟花参数]2改造范围	[烟花参数]3类型	[烟花参数]3标准值	[烟花参数]3是否可改造	[烟花参数]3改造范围	[烟花参数]4类型	[烟花参数]4标准值	[烟花参数]4是否可改造	[烟花参数]4改造范围	[烟花参数]5类型	[烟花参数]5标准值	[烟花参数]5是否可改造	[烟花参数]5改造范围
223001	1	230	1	50,410	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223002	1	269	1	89,449	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223003	1	200	1	20,380	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223004	1	380	1	200,560	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223005	1	380	1	200,560	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223006	1	380	1	200,560	3	100	1	50,150	2	14	1	8,30	4	100	1	50,150	5	360	0	
223007	1	522	1	342,702	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
223008	1	318	1	138,498	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
223009	1	400	1	220,580	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
223010	1	380	1	200,560	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
223011	1	318	1	138,498	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
223012	1	380	1	200,560	3	100	1	50,150	2	14	1	8,30	4	100	0		5	360	1	180,540
