配方ID,基底1ID,基底1数量,基底2ID,基底2数量,辅料1ID,辅料1数量,辅料2ID,辅料2数量,可用词缀,是否默认解锁,解锁任务
1001,410001,3,0,,0,,0,,107,,
1002,410001,2,0,,410004,1,0,,101,,
1003,410001,1,0,,410004,2,0,,101,,
1004,410001,1,0,,410004,1,410005,1,101#102,,
1005,410001,1,0,,410004,1,410009,1,101#106,1,
1006,410001,2,0,,410008,1,0,,105,,7050301
1007,410001,1,410002,1,410004,1,0,,101,,
1008,410002,3,0,,0,,0,,108,,7050701
1009,410002,2,0,,410004,1,0,,101,,
1010,410002,1,0,,410004,2,0,,101,,
1011,410002,1,0,,410004,1,410007,1,101#104,,
1012,410002,1,0,,410004,1,410005,1,101#102,,7050601
1013,410002,1,0,,410004,1,410009,1,101#106,,
1014,410002,2,0,,410006,1,0,,103,,
1015,410002,1,410003,2,0,,0,,,,7050801
1016,410003,3,0,,0,,0,,109,1,
1017,410003,2,0,,410004,1,0,,101,,7050901
1018,410003,1,0,,410004,2,0,,101,,
1019,410003,2,0,,410006,1,0,,103,,7050801
1020,410003,2,0,,410008,1,0,,105,,
1021,410003,1,0,,410008,1,410007,1,105#104,,
1022,0,,0,,0,,0,,,1,
