流水id,dungeon_id,sequence_id,cell组,cell类型优先级,[cell]1类型,[cell]1区间,[cell]2类型,[cell]2区间,[cell]3类型,[cell]3区间
1,3017,1,3#7#11,,5,2#2,,,,
2,3017,2,2#3#6#7#8#10,,2,2#2,,,,
3,3017,3,2#3#5#6#8#10#11,,3,3#4,,,,
4,3020,1,4#5#7#9#10,,5,2#2,,,,
5,3020,2,3#5#7#8#9#11,,2,2#3,,,,
6,3020,3,2#3#5#7#9#10#11,,3,4#4,,,,
7,3018,1,5#9,,5,2#2,,,,
8,3018,2,2#5#10#13,,2,2#3,,,,
9,3018,3,2#3#6#8#11#13,,3,3#4,,,,
10,3021,1,3#10#12,,5,2#2,,,,
11,3021,2,7#8#11,,2,2#2,,,,
12,3021,3,4#6#7#8#9#11#12,,3,3#4,,,,
13,3022,1,4#6#9#12#15,,5,1#2,,,,
14,3022,2,4#8#9#10#5#12#11,,2,1#3,,,,
15,3022,3,4#5#6#8#9#10#11#12#15,,3,4#4,,,,
16,3019,1,4#6#8#11,,5,1#2,,,,
17,3019,2,3#4#8#9#11#13,,2,1#2,,,,
18,3019,3,5#4#6#9#10#13#11#8,,3,4#4,,,,
19,3023,1,10,,5,1#1,,,,
20,3023,2,6#16,,2,1#1,,,,
21,3023,3,4#10,,5,1#2,,,,
22,3023,4,4#18,,2,1#1,,,,
23,3023,5,3#5#15#17,,3,3#4,,,,
24,3024,1,9#13,,5,2#2,,,,
25,3024,2,3#11#15#17,,2,2#2,,,,
26,3024,3,3#8#11#14#15#17,,3,4#4,,,,
27,3025,1,9#10,,5,1#1,,,,
28,3025,2,4#2,,5,1#1,,,,
29,3025,3,2#10,,2,1#1,,,,
30,3025,4,4#9,,2,1#1,,,,
31,3025,5,1#2#5#6#7#8#10#11,,3,7#7,,,,
32,3026,1,5#11#16,,5,2#2,,,,
33,3026,2,5#6#11#12,,2,2#2,,,,
34,3026,3,3#4#7#8#10#13#15#16,,3,7#7,,,,
