ID,城市ID,难度,RegionId,完成奖励ID
1,1,0,101,2010101
2,1,1,101,2010102
3,1,2,101,2010103
4,1,0,102,2010101
5,1,1,102,2010102
6,1,2,102,2010103
7,1,0,103,2010101
8,1,1,103,2010102
9,1,2,103,2010103
10,1,0,104,2010101
11,1,1,104,2010102
12,1,2,104,2010103
13,2,0,201,2020101
14,2,1,201,2020102
15,2,2,201,2020103
16,2,0,202,2020101
17,2,1,202,2020102
18,2,2,202,2020103
19,2,0,203,2020101
20,2,1,203,2020102
21,2,2,203,2020103
22,2,0,204,2020101
23,2,1,204,2020102
24,2,2,204,2020103
25,3,0,301,2030101
26,3,1,301,2030102
27,3,2,301,2030103
28,3,0,302,2030101
29,3,1,302,2030102
30,3,2,302,2030103
31,3,0,303,2030101
32,3,1,303,2030102
33,3,2,303,2030103
34,3,0,304,2030101
35,3,1,304,2030102
36,3,2,304,2030103
37,4,0,401,2040101
38,4,1,401,2040102
39,4,2,401,2040103
40,4,0,402,2040101
41,4,1,402,2040102
42,4,2,402,2040103
43,4,0,403,2040101
44,4,1,403,2040102
45,4,2,403,2040103
46,4,0,404,2040101
47,4,1,404,2040102
48,4,2,404,2040103
49,4,0,405,2040101
50,4,1,405,2040102
51,4,2,405,2040103
52,4,0,406,2040101
53,4,1,406,2040102
54,4,2,406,2040103
55,4,0,407,2040101
56,4,1,407,2040102
57,4,2,407,2040103
58,4,0,408,2040101
59,4,1,408,2040102
60,4,2,408,2040103
