ID,城市ID,区域ID,序列
1,1,1001,1
2,1,1006,2
3,1,1002,3
4,1,1007,4
5,1,1004,5
6,1,1008,6
7,1,1005,7
8,1,1003,8
9,2,2001,1
10,2,2002,2
11,2,2007,3
12,2,2008,4
13,2,2003,5
14,2,2011,6
15,2,2009,7
16,2,2012,8
17,2,2010,9
18,2,2006,10
19,2,2013,11
20,2,2005,12
21,2,2004,13
22,11,1101,1
23,11,1102,2
24,100,10001,1
25,100,10002,2
26,100,10003,3
27,100,10004,4
28,12,1201,1
29,3,3001,1
30,3,3002,2
31,3,3003,3
32,12,1202,1
33,3,3004,4
34,3,3005,5
35,4,4001,1
36,4,4002,2
37,4,4003,3
38,4,4006,4
39,4,4005,5
40,4,4004,6
41,4,4007,7
42,4,4008,8
43,4,4009,9
44,4,4010,10
