ItemID,MiracleValue,[MiracleTag]1,[MiracleTag]2,[MiracleTag]3,[MiracleTag]4,[MiracleTag]5
100001,1,5,9,0,0,0
100002,1,5,9,0,0,0
100011,1,5,9,0,0,0
100012,1,5,9,0,0,0
100013,1,5,9,0,0,0
100014,1,5,9,0,0,0
100015,1,5,9,0,0,0
100016,1,5,9,0,0,0
100017,1,5,9,0,0,0
100018,1,5,9,0,0,0
100019,1,5,9,0,0,0
100020,1,5,9,0,0,0
100026,1,5,9,0,0,0
100032,1,5,9,0,0,0
100051,1,5,9,0,0,0
100052,1,5,9,0,0,0
100053,1,5,9,0,0,0
100054,1,6,7,0,0,0
100061,1,4,8,0,0,0
100062,1,4,8,0,0,0
100063,1,5,9,0,0,0
100064,1,4,8,0,0,0
100072,1,4,8,0,0,0
100073,1,4,8,0,0,0
100079,1,5,9,0,0,0
100080,1,5,9,0,0,0
100081,1,4,8,0,0,0
100082,1,4,8,0,0,0
100083,1,4,8,0,0,0
100084,1,4,8,0,0,0
100085,1,6,7,0,0,0
100090,1,6,7,0,0,0
100091,1,5,9,0,0,0
100094,1,4,8,0,0,0
100021,1,5,9,0,0,0
100022,1,5,9,0,0,0
100023,1,5,9,0,0,0
100024,1,5,9,0,0,0
100025,1,5,9,0,0,0
100055,1,5,9,0,0,0
100056,1,5,9,0,0,0
100057,1,5,9,0,0,0
100027,1,5,9,0,0,0
100028,1,6,7,0,0,0
100029,1,5,9,0,0,0
100030,1,5,9,0,0,0
100031,1,5,9,0,0,0
100033,1,4,8,0,0,0
100034,1,5,9,0,0,0
100058,1,6,7,0,0,0
101001,1,6,7,0,0,0
101002,1,6,7,0,0,0
101003,1,6,7,0,0,0
101004,1,6,7,0,0,0
101006,1,6,7,0,0,0
101008,1,6,7,0,0,0
101201,1,4,8,0,0,0
101202,1,5,9,0,0,0
101203,1,6,7,0,0,0
101204,1,5,9,0,0,0
101205,1,5,9,0,0,0
101206,1,5,9,0,0,0
101207,1,6,7,0,0,0
101208,1,5,9,0,0,0
101209,1,5,9,0,0,0
101210,1,5,9,0,0,0
101211,1,5,9,0,0,0
101212,1,5,9,0,0,0
101213,1,5,9,0,0,0
101214,1,5,9,0,0,0
101215,1,5,9,0,0,0
101216,1,5,9,0,0,0
101217,1,5,9,0,0,0
101218,1,5,9,0,0,0
101219,1,5,9,0,0,0
101220,1,5,9,0,0,0
101221,1,5,9,0,0,0
101225,1,4,8,0,0,0
101226,1,5,9,0,0,0
101227,1,5,9,0,0,0
101228,1,5,9,0,0,0
112002,1,4,8,0,0,0
112003,2,4,8,0,0,0
112004,4,4,8,0,0,0
112005,1,4,8,0,0,0
112006,2,4,8,0,0,0
112007,4,4,8,0,0,0
112008,1,5,9,0,0,0
112009,2,5,9,0,0,0
112010,4,5,9,0,0,0
112011,1,6,7,0,0,0
112012,2,6,7,0,0,0
112013,4,6,7,0,0,0
112014,1,4,8,0,0,0
112015,2,4,8,0,0,0
112016,4,4,8,0,0,0
112020,1,5,9,0,0,0
112021,2,5,9,0,0,0
112022,4,5,9,0,0,0
112023,1,4,8,0,0,0
112024,2,4,8,0,0,0
112025,4,4,8,0,0,0
112026,1,5,9,0,0,0
112027,2,5,9,0,0,0
112028,4,5,9,0,0,0
112029,1,6,7,0,0,0
112030,2,6,7,0,0,0
112031,4,6,7,0,0,0
112032,1,4,8,0,0,0
112033,2,4,8,0,0,0
112034,4,4,8,0,0,0
112035,1,4,8,0,0,0
112036,2,4,8,0,0,0
112037,4,4,8,0,0,0
112038,1,5,9,0,0,0
112039,2,5,9,0,0,0
112040,4,5,9,0,0,0
112041,1,4,8,0,0,0
112042,2,4,8,0,0,0
112043,4,4,8,0,0,0
112044,1,4,8,0,0,0
112045,2,4,8,0,0,0
112046,4,4,8,0,0,0
112047,1,4,8,0,0,0
112048,2,4,8,0,0,0
112049,4,4,8,0,0,0
112050,1,4,8,0,0,0
112051,2,4,8,0,0,0
112052,4,4,8,0,0,0
112053,1,4,8,0,0,0
112054,2,4,8,0,0,0
112055,4,4,8,0,0,0
112056,1,4,8,0,0,0
112057,2,4,8,0,0,0
112058,4,4,8,0,0,0
112059,1,5,9,0,0,0
112060,2,5,9,0,0,0
112061,4,5,9,0,0,0
112062,1,5,9,0,0,0
112063,2,5,9,0,0,0
112064,4,5,9,0,0,0
112065,1,4,8,0,0,0
112066,2,4,8,0,0,0
112067,4,4,8,0,0,0
112068,1,4,8,0,0,0
112069,2,4,8,0,0,0
112070,4,4,8,0,0,0
112071,1,4,8,0,0,0
112072,2,4,8,0,0,0
112073,4,4,8,0,0,0
