事件ID	周期事件类型	GroupId	事件tag	是否是保底事件	事件奖励RewardID	[完成条件]类型	[完成条件]参数1	[完成条件]参数2	[完成条件]进度	组合关系	[满足条件]1类型	[满足条件]1参数1	[满足条件]1参数2	[满足条件]2类型	[满足条件]2参数1	[满足条件]2参数2	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2	[完成执行]2类型	[完成执行]2参数1	[完成执行]2参数2
10001	1	133008402		1	311001	1			4													
10002	1	133008436			311001	1			2													
10003	1	133008437	209		311001	1			4													
10004	1	133008438	209		311001	1			4													
10005	1	133008439	209		311001	1			3													
10006	1	133008440		1	311001	1			1													
10007	1	133008461			311001	1			4													
10008	1	133008462			311001	3			1													
10009	1	133008463			311001	3			1													
10010	1	133008464		1	311001	1			3													
10011	1	133008465			311001	1			3													
10012	1	133008503			311001	3			1													
10013	1	133008504		1	311001	3			1													
10014	1	133008585			311001	3			1													
10015	1	133008588			311001	3			1													
10016	1	133008589			311001	3			1													
10017	1	133008590	209		311001	1			3													
10018	1	133008591			311001	3			1													
10019	1	133008593		1	311001	1			2													
10020	1	133008594			311001	1			2													
10021	1	133008625	209		311001	1			3													
10022	1	133008626	209		311001	1			2													
10023	1	133008627	209		311001	1			4													
10024	1	133008628	209		311001	1			4													
10025	1	133008629		1	311001	1			1													
10026	1	133008630			311001	3			1													
10027	1	133008631	209		311001	1			2													
10028	1	133008632	209		311001	1			4													
