鱼池ID	普通鱼群随机组ID	特殊保底鱼群随机组ID	[鱼群产出]1类型	[鱼群产出]1下限	[鱼群产出]1上限	[鱼群产出]2类型	[鱼群产出]2下限	[鱼群产出]2上限	前台显示上限	AbilityGroup	TeamAbilityGroup	掉落ID	每日进包上限	上限内排除鱼ID	城市ID
10001	1,3		2	5	7	3	5	7	6	Avatar_Fishing	Avatar_Fishing_OnTeam				
10002	4		1	100	110				10	Avatar_Fishing	Avatar_Fishing_OnTeam				
10003	1000011,1000012		2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam		50		
10004	1000021,1000022	1000023:2	2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam		50		
10005	1000031,1000032		2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam		50		
10006	1000041,1000042	1000043:2	2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam	21600001	50		
10007	1000051,1000052	1000053:3	2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam		50	1019	
10008	1000051,1000052	1000053:3	2	0	0	3	0	0	5	Avatar_Fishing	Avatar_Fishing_OnTeam		50	1019	
101	1011		1	4	4				4	Avatar_Fishing	Avatar_Fishing_OnTeam				
102	1012		1	3	3				4	Avatar_Fishing	Avatar_Fishing_OnTeam				
1001	10011,10012		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1002	10021,10022		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1003	10031,10032		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1004	10041,10042		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1005	10051,10052		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1006	10061,10062		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1007	10071,10072		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1008	10081,10082		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				1
1009	10091,10092		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				
1010	10101,10102		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				
1011	10111,10112		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				
1012	10121,10122		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				
1013	10131,10132		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				
1014	10141,10142		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				
2001	20011,20012		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2002	20021,20022		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2003	20031,20032		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2004	20041,20042		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2005	20051,20052		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2006	20061,20062		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2007	20071,20072		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2008	20081,20082		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2009	20091,20092		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2010	20101,20102		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2011	20111,20112		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2012	20121,20122		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
2013	20131,20132		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam				2
3001	30012		3	3	5				4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3002	30021,30022		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3003	30031,30032		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3004	30041,30042		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3005	30051,30052		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3006	30061,30062		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3007	30071,30072		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3008	30081,30082		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3009	30091,30092		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3010	30101,30102		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001;21600010			3
3011	30111,30112		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3012	30121,30122		2	3	5	3	3	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3013	30131,30132		2	2	4	3	2	4	4	Avatar_Fishing	Avatar_Fishing_OnTeam	21700001			3
3014	30141,30142		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				
3015	30151,30152		2	4	6	3	4	6	5	Avatar_Fishing	Avatar_Fishing_OnTeam				
4001	40011,40012		2	4	5	3	4	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4002	40021,40022		2	5	6	3	5	6	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4003	40031,40032		2	5	6	3	5	6	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4004	40041,40042		2	6	7	3	6	7	5	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4005	40051,40052		2	4	5	3	4	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4006	40061,40062		2	6	7	3	6	7	5	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4007	40071,40072		2	5	6	3	5	6	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4008	40081,40082		2	6	7	3	6	7	5	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4009	40091,40092		2	4	5	3	4	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4010	40101,40102		2	4	5	3	4	5	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
4011	40111,40112		2	5	6	3	5	6	4	Avatar_Fishing	Avatar_Fishing_OnTeam				4
1	11	13:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
2	21	23:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
3	31	33:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
4	41	43:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
5	51	53:3	1	0	0				6	Avatar_Fishing	Avatar_Fishing_OnTeam				
