索引ID	AbilityGroupName
1	Activity_TeamChain_ElementAddHurt_Swirl
2	Activity_TeamChain_Frozen_PercentageRatio
3	Activity_TeamChain_BurstDamageUp_ReduceCD
4	Activity_TeamChain_UltGainEnergy
5	Activity_TeamChain_GrassReaction_ElemMasteryDelta
6	Activity_TeamChain_NormalAttackAndElementalArt_DamageUp
7	Activity_TeamChain_FallingWindZone
8	Activity_TeamChain_Mastery_DamageUp
9	Activity_TeamChain_AttackSpeedRatio
10	Activity_TeamChain_NormalAttackDamageUp
11	Activity_TeamChain_AttackRatio
12	Activity_TeamChain_CriticalHurtDelta
13	Activity_TeamChain_ElemMasteryDeltaUp
14	Activity_TeamChain_BurstDamageUp
15	Activity_TeamChain_ElementAddHurt_Wind
16	Activity_TeamChain_ElementAddHurt_Fire
17	Activity_TeamChain_ElementAddHurt_Elec
18	Activity_TeamChain_ElementAddHurt_Water
19	Activity_TeamChain_ElementAddHurt_Grass
20	Activity_TeamChain_ElementAddHurt_Ice
