鱼ID,怪物ID,道具ID,血量,技能序列,熟练度加速,Bonus宽度,Bonus单次停留时间,Bonus变动位移,Bonus变动速度,试探时间区间,吸引距离,受惊距离,奖励ID,掉落ID,所属鱼种,咬钩超时时间,初始Pose,解锁配方
1,28040201,131000,40,2010,1001,36,1#2,10#30,25#30,1#1.5,2.4,1,242001,,,5,1,1013
2,28040202,131001,40,2010,1001,36,1#2,10#30,25#30,1#1.5,2.4,1,242002,,,5,1,1014
3,28040203,131002,40,2010,1001,36,1#2,10#30,25#30,1#1.5,2.4,1,242003,,,5,1,1015
4,28040204,131003,40,2010,1001,36,1#2,10#30,25#30,1#1.5,2.4,1,242004,,,5,1,1016
5,28040205,131004,96,2011,1001,24,0.5#1,10#30,25#40,2#3,2,1.2,242005,,,1,1,1017
6,28040206,131005,96,2011,1001,24,0.5#1,10#30,25#40,2#3,2,1.2,242006,,,1,1,1018
7,28040301,131006,60,2012,1001,28,1#2,15#30,25#40,2#3,3,1.2,242007,,,3,1,1019
8,28040302,131007,60,2012,1001,28,1#2,15#30,25#40,2#3,3,1.2,242008,,,3,1,1020
9,28040303,131008,60,2012,1001,28,1#2,15#30,25#40,2#3,3,1.2,242009,,,3,1,1021
10,28040304,131009,112,2013,1001,24,0.5#1,15#30,25#40,3#5,3,1.5,242010,,,1,1,1022
11,28040305,131010,140,2014#1000,1001,20,0.5#1,15#30,25#40,3#5,3,1.5,242011,,,1,1,1023
12,28040401,131011,126,2015,1001,24,1#2,20#40,40#50,3#5,2.4,1.7,242012,,,1,1,1024
13,28040402,131012,126,2015,1001,24,1#2,20#40,40#50,3#5,2.4,1.7,242013,,,1,1,1025
14,28040501,131013,40,2016,1001,36,1#2,20#40,10#20,1#1.5,2.4,1,242014,,,5,1,1026
15,28040502,131014,40,2016,1001,36,1#2,20#40,10#20,1#1.5,2.4,1,242015,,,5,1,1027
16,28040503,131015,40,2016,1001,36,1#2,20#40,10#20,1#1.5,2,1,242016,,,5,1,1028
17,28040504,131016,125,2017#1000,1001,20,0.5#1,20#40,20#30,2#3,2,1,242017,,,1,1,1029
18,28040505,131017,125,2017#1000,1001,20,0.5#1,20#40,20#30,2#3,2,1.2,242018,,,1,1,1030
20,28040601,131019,170,2019,1001,30,0#0.5,50#80,5#10,3#5,3,1.7,242020,,,1,1,1031
21,28040602,131020,170,2019,1001,30,0#0.5,50#80,5#10,3#5,3,1.7,242021,,,1,1,1032
22,28040701,131021,97,2030#1001,1001,30,0#0.5,20#40,20#30,3#5,3,1.7,242022,,,1,1,1033
23,28040702,131022,110,2030#1001,1001,30,1#2,20#40,20#30,3#5,3,1.7,242023,,,1,1,1034
24,28040801,131023,60,2001#1003,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,242024,,,2,1,1035
25,28040802,131024,123,2001#2003#1004,1001,25,0.8#2,20#40,30#35,4#5,2.8,1.2,242025,,,1,1,1036
26,28040803,131025,60,2001#1003,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,242026,,,2,1,1037
27,28040804,131026,60,2001#1003,1001,25,0.8#2,20#40,30#35,3#4,2.8,1.2,242027,,,2,1,1038
28,28040901,131027,71,2011,1001,28,1#2,15#35,30#35,2#3,2.8,1.2,242028,,,3,1,1039
29,28040902,131028,71,2011,1001,28,1#2,15#35,30#35,2#3,2.8,1.2,242029,,,3,1,1040
1001,28040201,379001,120,2020,1001,28,1#2,10#30,25#30,2#8,2.4,1,243001,,1,1,2,1013
1002,28040202,379002,120,2020,1001,28,1#2,10#30,25#30,2#8,2.4,1,243002,,2,1,2,1014
1003,28040203,379003,120,2020,1001,28,1#2,10#30,25#30,2#8,2.4,1,243003,,3,1,2,1015
1004,28040204,379004,120,2020,1001,28,1#2,10#30,25#30,2#8,2.4,1,243004,,4,1,2,1016
1005,28040205,379005,180,2021,1001,24,0.5#1,10#30,25#40,2#8,2,1.2,243005,,5,1,2,1017
1006,28040206,379006,180,2021,1001,24,0.5#1,10#30,25#40,2#8,2,1.2,243006,,6,1,2,1018
1007,28040301,379007,125,2022,1001,24,1#2,15#30,25#40,2#8,3,1.2,243007,,7,1,2,1019
1008,28040302,379008,125,2022,1001,24,1#2,15#30,25#40,2#8,3,1.2,243008,,8,1,2,1020
1009,28040303,379009,125,2022,1001,24,1#2,15#30,25#40,2#8,3,1.2,243009,,9,1,2,1021
1010,28040304,379010,196,2023,1001,24,0.5#1,15#30,25#40,2#8,3,1.5,243010,,10,1,2,1022
1011,28040305,379011,175,2024#2001#1000,1001,20,0.5#1,15#30,25#40,2#8,3,1.5,243011,,11,1,2,1023
1012,28040401,379012,180,2025,1001,20,1#2,20#40,40#50,2#8,2.4,1.7,243012,,12,1,2,1024
1013,28040402,379013,180,2025,1001,20,1#2,20#40,40#50,2#8,2.4,1.7,243013,,13,1,2,1025
