合成ID	解锁等级	默认显示	解锁方式	解锁参数1	解锁参数2	合成类型	合成产物	产物数量	摩拉消耗	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	配方类型	特殊产物ID
50001		1				5	104111	1	0	104121	1	104201	1			2	
50002		1				5	104111	1	0	104131	1	104201	1			2	
50003		1				5	104111	1	0	104141	1	104201	1			2	
50004		1				5	104111	1	0	104151	1	104201	1			2	
50005		1				5	104111	1	0	104161	1	104201	1			2	
50006		1				5	104111	1	0	104171	1	104201	1			2	
50007		1				5	104112	1	0	104122	1	104201	3			2	
50008		1				5	104112	1	0	104132	1	104201	3			2	
50009		1				5	104112	1	0	104142	1	104201	3			2	
50010		1				5	104112	1	0	104152	1	104201	3			2	
50011		1				5	104112	1	0	104162	1	104201	3			2	
50012		1				5	104112	1	0	104172	1	104201	3			2	
50013		1				5	104113	1	0	104123	1	104201	9			2	
50014		1				5	104113	1	0	104133	1	104201	9			2	
50015		1				5	104113	1	0	104143	1	104201	9			2	
50016		1				5	104113	1	0	104153	1	104201	9			2	
50017		1				5	104113	1	0	104163	1	104201	9			2	
50018		1				5	104113	1	0	104173	1	104201	9			2	
50019		1				5	104114	1	0	104124	1	104201	27			2	
50020		1				5	104114	1	0	104134	1	104201	27			2	
50021		1				5	104114	1	0	104144	1	104201	27			2	
50022		1				5	104114	1	0	104154	1	104201	27			2	
50023		1				5	104114	1	0	104164	1	104201	27			2	
50024		1				5	104114	1	0	104174	1	104201	27			2	
50025		1				5	104121	1	0	104111	1	104201	1			2	
50026		1				5	104121	1	0	104131	1	104201	1			2	
50027		1				5	104121	1	0	104141	1	104201	1			2	
50028		1				5	104121	1	0	104151	1	104201	1			2	
50029		1				5	104121	1	0	104161	1	104201	1			2	
50030		1				5	104121	1	0	104171	1	104201	1			2	
50031		1				5	104122	1	0	104112	1	104201	3			2	
50032		1				5	104122	1	0	104132	1	104201	3			2	
50033		1				5	104122	1	0	104142	1	104201	3			2	
50034		1				5	104122	1	0	104152	1	104201	3			2	
50035		1				5	104122	1	0	104162	1	104201	3			2	
50036		1				5	104122	1	0	104172	1	104201	3			2	
50037		1				5	104123	1	0	104113	1	104201	9			2	
50038		1				5	104123	1	0	104133	1	104201	9			2	
50039		1				5	104123	1	0	104143	1	104201	9			2	
50040		1				5	104123	1	0	104153	1	104201	9			2	
50041		1				5	104123	1	0	104163	1	104201	9			2	
50042		1				5	104123	1	0	104173	1	104201	9			2	
50043		1				5	104124	1	0	104114	1	104201	27			2	
50044		1				5	104124	1	0	104134	1	104201	27			2	
50045		1				5	104124	1	0	104144	1	104201	27			2	
50046		1				5	104124	1	0	104154	1	104201	27			2	
50047		1				5	104124	1	0	104164	1	104201	27			2	
50048		1				5	104124	1	0	104174	1	104201	27			2	
50049		1				5	104131	1	0	104111	1	104201	1			2	
50050		1				5	104131	1	0	104121	1	104201	1			2	
50051		1				5	104131	1	0	104141	1	104201	1			2	
50052		1				5	104131	1	0	104151	1	104201	1			2	
50053		1				5	104131	1	0	104161	1	104201	1			2	
50054		1				5	104131	1	0	104171	1	104201	1			2	
50055		1				5	104132	1	0	104112	1	104201	3			2	
50056		1				5	104132	1	0	104122	1	104201	3			2	
50057		1				5	104132	1	0	104142	1	104201	3			2	
50058		1				5	104132	1	0	104152	1	104201	3			2	
50059		1				5	104132	1	0	104162	1	104201	3			2	
50060		1				5	104132	1	0	104172	1	104201	3			2	
50061		1				5	104133	1	0	104113	1	104201	9			2	
50062		1				5	104133	1	0	104123	1	104201	9			2	
50063		1				5	104133	1	0	104143	1	104201	9			2	
50064		1				5	104133	1	0	104153	1	104201	9			2	
50065		1				5	104133	1	0	104163	1	104201	9			2	
50066		1				5	104133	1	0	104173	1	104201	9			2	
50067		1				5	104134	1	0	104114	1	104201	27			2	
50068		1				5	104134	1	0	104124	1	104201	27			2	
50069		1				5	104134	1	0	104144	1	104201	27			2	
50070		1				5	104134	1	0	104154	1	104201	27			2	
50071		1				5	104134	1	0	104164	1	104201	27			2	
50072		1				5	104134	1	0	104174	1	104201	27			2	
50073		1				5	104141	1	0	104111	1	104201	1			2	
50074		1				5	104141	1	0	104121	1	104201	1			2	
50075		1				5	104141	1	0	104131	1	104201	1			2	
50076		1				5	104141	1	0	104151	1	104201	1			2	
50077		1				5	104141	1	0	104161	1	104201	1			2	
50078		1				5	104141	1	0	104171	1	104201	1			2	
50079		1				5	104142	1	0	104112	1	104201	3			2	
50080		1				5	104142	1	0	104122	1	104201	3			2	
50081		1				5	104142	1	0	104132	1	104201	3			2	
50082		1				5	104142	1	0	104152	1	104201	3			2	
50083		1				5	104142	1	0	104162	1	104201	3			2	
50084		1				5	104142	1	0	104172	1	104201	3			2	
50085		1				5	104143	1	0	104113	1	104201	9			2	
50086		1				5	104143	1	0	104123	1	104201	9			2	
50087		1				5	104143	1	0	104133	1	104201	9			2	
50088		1				5	104143	1	0	104153	1	104201	9			2	
50089		1				5	104143	1	0	104163	1	104201	9			2	
50090		1				5	104143	1	0	104173	1	104201	9			2	
50091		1				5	104144	1	0	104114	1	104201	27			2	
50092		1				5	104144	1	0	104124	1	104201	27			2	
50093		1				5	104144	1	0	104134	1	104201	27			2	
50094		1				5	104144	1	0	104154	1	104201	27			2	
50095		1				5	104144	1	0	104164	1	104201	27			2	
50096		1				5	104144	1	0	104174	1	104201	27			2	
50097		1				5	104151	1	0	104111	1	104201	1			2	
50098		1				5	104151	1	0	104121	1	104201	1			2	
50099		1				5	104151	1	0	104131	1	104201	1			2	
50100		1				5	104151	1	0	104141	1	104201	1			2	
50101		1				5	104151	1	0	104161	1	104201	1			2	
50102		1				5	104151	1	0	104171	1	104201	1			2	
50103		1				5	104152	1	0	104112	1	104201	3			2	
50104		1				5	104152	1	0	104122	1	104201	3			2	
50105		1				5	104152	1	0	104132	1	104201	3			2	
50106		1				5	104152	1	0	104142	1	104201	3			2	
50107		1				5	104152	1	0	104162	1	104201	3			2	
50108		1				5	104152	1	0	104172	1	104201	3			2	
50109		1				5	104153	1	0	104113	1	104201	9			2	
50110		1				5	104153	1	0	104123	1	104201	9			2	
50111		1				5	104153	1	0	104133	1	104201	9			2	
50112		1				5	104153	1	0	104143	1	104201	9			2	
50113		1				5	104153	1	0	104163	1	104201	9			2	
50114		1				5	104153	1	0	104173	1	104201	9			2	
50115		1				5	104154	1	0	104114	1	104201	27			2	
50116		1				5	104154	1	0	104124	1	104201	27			2	
50117		1				5	104154	1	0	104134	1	104201	27			2	
50118		1				5	104154	1	0	104144	1	104201	27			2	
50119		1				5	104154	1	0	104164	1	104201	27			2	
50120		1				5	104154	1	0	104174	1	104201	27			2	
50121		1				5	104161	1	0	104111	1	104201	1			2	
50122		1				5	104161	1	0	104121	1	104201	1			2	
50123		1				5	104161	1	0	104131	1	104201	1			2	
50124		1				5	104161	1	0	104141	1	104201	1			2	
50125		1				5	104161	1	0	104151	1	104201	1			2	
50126		1				5	104161	1	0	104171	1	104201	1			2	
50127		1				5	104162	1	0	104112	1	104201	3			2	
50128		1				5	104162	1	0	104122	1	104201	3			2	
50129		1				5	104162	1	0	104132	1	104201	3			2	
50130		1				5	104162	1	0	104142	1	104201	3			2	
50131		1				5	104162	1	0	104152	1	104201	3			2	
50132		1				5	104162	1	0	104172	1	104201	3			2	
50133		1				5	104163	1	0	104113	1	104201	9			2	
50134		1				5	104163	1	0	104123	1	104201	9			2	
50135		1				5	104163	1	0	104133	1	104201	9			2	
50136		1				5	104163	1	0	104143	1	104201	9			2	
50137		1				5	104163	1	0	104153	1	104201	9			2	
50138		1				5	104163	1	0	104173	1	104201	9			2	
50139		1				5	104164	1	0	104114	1	104201	27			2	
50140		1				5	104164	1	0	104124	1	104201	27			2	
50141		1				5	104164	1	0	104134	1	104201	27			2	
50142		1				5	104164	1	0	104144	1	104201	27			2	
50143		1				5	104164	1	0	104154	1	104201	27			2	
50144		1				5	104164	1	0	104174	1	104201	27			2	
50145		1				5	104171	1	0	104111	1	104201	1			2	
50146		1				5	104171	1	0	104121	1	104201	1			2	
50147		1				5	104171	1	0	104131	1	104201	1			2	
50148		1				5	104171	1	0	104141	1	104201	1			2	
50149		1				5	104171	1	0	104151	1	104201	1			2	
50150		1				5	104171	1	0	104161	1	104201	1			2	
50151		1				5	104172	1	0	104112	1	104201	3			2	
50152		1				5	104172	1	0	104122	1	104201	3			2	
50153		1				5	104172	1	0	104132	1	104201	3			2	
50154		1				5	104172	1	0	104142	1	104201	3			2	
50155		1				5	104172	1	0	104152	1	104201	3			2	
50156		1				5	104172	1	0	104162	1	104201	3			2	
50157		1				5	104173	1	0	104113	1	104201	9			2	
50158		1				5	104173	1	0	104123	1	104201	9			2	
50159		1				5	104173	1	0	104133	1	104201	9			2	
