ID	默认显示	DisplayID	SeriesID	Display参数
10701001	0	10701001	10701	1
10701002	0	10701002	10701	1
10701003	0	10701003	10701	1
10701004	0	10701004	10701	1
10701005	0	10701005	10701	1
10701006	0	10701006	10701	1
10701007	0	10701007	10701	1
10701008	0	10701008	10701	1
10701009	0	10701009	10701	1
10701010	0	10701010	10701	1
10701011	0	10701011	10701	1
10701012	0	10701012	10701	1
10701013	0	10701013	10701	1
10701014	0	10701014	10701	1
10701015	0	10701015	10701	1
10701016	0	10701016	10701	1
10701017	0	10701017	10701	1
10701018	0	10701018	10701	1
10701019	0	10701019	10701	1
10701020	0	10701020	10701	1
10701021	0	10701021	10701	1
10701022	0	10701022	10701	1
10701023	0	10701023	10701	1
10701024	0	10701024	10701	1
10701025	0	10701025	10701	1
10701026	0	10701026	10701	1
10701027	0	10701027	10701	1
10701028	0	10701028	10701	1
11801001	0	11801001	11801	1
11801002	0	11801002	11801	1
11801003	0	11801003	11801	1
11801004	0	11801004	11801	1
11801005	0	11801005	11801	1
11801006	0	11801006	11801	1
11801007	0	11801007	11801	1
11801008	0	11801008	11801	1
11801009	0	11801009	11801	1
11801010	0	11801010	11801	1
11801011	0	11801011	11801	1
11801012	0	11801012	11801	1
11801013	0	11801013	11801	1
11801014	0	11801014	11801	1
11801015	0	11801015	11801	1
11801016	0	11801016	11801	1
11801017	0	11801017	11801	1
11801018	0	11801018	11801	1
11801019	0	11801019	11801	1
11801020	0	11801020	11801	1
11801021	0	11801021	11801	1
11801022	0	11801022	11801	1
11801023	0	11801023	11801	1
11801024	0	11801024	11801	1
11801025	0	11801025	11801	1
11801026	0	11801026	11801	1
11801027	0	11801027	11801	1
11801028	0	11801028	11801	1
