ID,groupid,configid,对应迷雾区域ID,是否为传送锚点,标记创船位置的configID,拉回后创建的船只gadgetID,迷雾区域内序号,已废弃
1,144004071,71001,1,,71005,45001001,2,
2,144004072,72001,1,,72005,45001001,3,
3,144004073,73001,1,,73005,45001001,4,
4,144004074,74001,1,,74005,45001001,7,
5,144004075,75001,1,,75005,45001001,8,
6,144004076,76001,1,,76005,45001001,10,
7,144002071,71001,1,,71005,45001001,12,
8,144002072,72001,1,,72005,45001001,13,
9,144002074,74001,1,,74005,45001001,18,
10,144002075,75001,2,,75005,45001001,4,
11,144001132,132001,2,,132005,45001001,5,
12,144001133,133001,2,,133005,45001001,10,
13,144001134,134001,2,,134005,45001001,11,
14,144001135,135001,2,,135005,45001001,12,
15,144001136,136001,2,,136005,45001001,13,
16,144001137,137001,2,,137005,45001001,15,
17,144001138,138001,2,,138005,45001001,14,
18,144003034,34001,3,,34005,45001001,7,
19,144003035,35001,3,,35005,45001001,9,
20,144003036,36001,3,,36005,45001001,10,
21,144003037,37001,3,,37005,45001001,13,
22,144003038,38001,3,,38005,45001001,15,
23,144003039,39001,3,,39005,45001001,16,
24,144003040,40001,3,,40005,45001001,17,
25,144003041,41001,3,,41005,45001001,18,
26,144003042,42001,3,,42005,45001001,19,
27,144003043,43001,3,,43005,45001001,20,
28,144003044,44001,3,,44005,45001001,21,
29,144003045,45001,3,,45005,45001001,11,
30,144003046,46001,3,,46005,45001001,22,1
31,144002093,93001,1,1,93004,45001001,20,
32,144001042,42001,2,1,42004,45001001,16,
33,144003059,59001,3,1,59004,45001001,23,
34,144004098,98001,0,1,98004,45001001,1,
35,144004070,70001,2,,70005,45001001,1,
36,144004069,69001,2,,69005,45001001,3,
37,144004068,68001,2,,68005,45001001,7,
38,144004067,67001,2,,67005,45001001,8,
39,144003047,47001,2,,47005,45001001,9,
40,144004120,120001,1,,120005,45001001,5,
41,144004121,121001,1,,121005,45001001,6,
42,144004122,122001,1,,122005,45001001,9,
43,144004123,123001,1,,123005,45001001,11,
44,144004124,124001,1,,124005,45001001,14,
45,144004125,125001,1,,125005,45001001,15,
46,144004126,126001,1,,126005,45001001,16,
47,144004127,127001,1,,127005,45001001,17,
48,144004128,128001,1,,128005,45001001,19,
49,144001189,189001,2,,189005,45001001,2,
50,144001139,139001,3,,139005,45001001,1,
51,144001140,140001,3,,140005,45001001,2,
52,144003061,61001,3,,61005,45001001,3,
53,144003062,62001,3,,62005,45001001,4,
54,144003063,63001,3,,63005,45001001,5,
55,144003064,64001,3,,64005,45001001,6,
56,144003065,65001,3,,65005,45001001,8,
57,144003066,66001,3,,66005,45001001,12,
58,144003067,67001,3,,67005,45001001,14,
59,144002073,73001,1,,73005,45001001,1,
60,144002076,76001,2,,76005,45001001,6,
