玩法ID,小道具ID,对应曲谱,曲谱时长,对应曲谱按键,曲谱中心
101,220066,Play_ui_midi_kanun_melody_4,7,3#2#4#3#0,4
102,220066,Play_ui_midi_kanun_melody_4,7,3#2#4#3#0,4
103,220066,Play_ui_midi_kanun_melody_4,7,3#2#4#3#0,4
104,220066,Play_ui_midi_kanun_melody_6,9,3#2#2#1#0,4
105,220066,Play_ui_midi_kanun_melody_7,9,2#1#2#1#5,4
106,220066,Play_ui_midi_kanun_melody_2,5,14#18#19#16#14,18
107,220066,Play_ui_midi_kanun_melody_1,5,14#18#18#19#20,18
108,220066,Play_ui_midi_kanun_melody_5,9,3#2#6#3#13,4
109,220066,Play_ui_midi_kanun_melody_7,9,2#1#2#1#5,4
110,220066,Play_ui_midi_kanun_melody_2,5,14#18#19#16#14,18
111,220066,Play_ui_midi_kanun_melody_1,5,14#18#18#19#20,18
112,220066,Play_ui_midi_kanun_melody_3,5,8#7#20#18#14,18
