ID	大世界关卡ID	是否困难模式	是否剧情关卡	关卡限时	球数限制	技能数量上限	SceneID	GroupID	传送点Configid组	各阶段时间	GalleryID	禁用元素1	禁用元素2	禁用元素3	分数配置
100101	1001			600		2	3	133220779	779002,779003	10,70,610,20	30001	2			10;0;2000;5;35;50
100201	1001	1		600	5	3	3	133220786	786004,786005	10,70,610,20	30007	2			8;0;1500;5;35;50
100102	1002			600		2	3	133220781	781004,781005	10,70,610,20	30002	1			10;0;1900;5;35;50
100202	1002	1		600	5	3	3	133220787	787004,787005	10,70,610,20	30008				8;0;1650;5;35;50
200101	2001			600		2	3	133220782	782004,782005	10,70,610,20	30003				10;0;1600;5;35;50
200201	2001	1		600	5	3	3	133220788	788004,788005	10,70,610,20	30009				8;0;1600;5;35;50
200102	2002			600		2	3	133220783	783004,783005	10,70,610,20	30004				10;0;2600;5;35;50
200202	2002	1		600	5	3	3	133220789	789004,789005	10,70,610,20	30010				8;0;2150;5;35;50
300101	3001			600		2	3	133220784	784004,784005	10,70,610,20	30005				10;0;2300;5;35;50
300201	3001	1		600	5	3	3	133220790	790004,790005	10,70,610,20	30011				8;0;1900;5;35;50
300102	3002			600		2	3	133220785	785004,785005	10,70,610,20	30006				10;0;2200;5;35;50
300202	3002	1		600	5	3	3	133220791	791004,791005	10,70,610,20	30012				8;0;1350;5;35;50
