ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	角色npc初见分组
510	久岐忍	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Girl_Sword_Shinobu/NPC_Coop_Avatar_Girl_Sword_Shinobu				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove		1	1		65
511	鹿野院平藏	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Boy_Catalyst_Heizo/NPC_Coop_Avatar_Boy_Catalyst_Heizo				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove_Heizo		1	1		59
512	莱依拉	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Girl_Pole_Yunjin/NPC_Coop_Avatar_Girl_Pole_Yunjin				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove		1	1		
513	珐露珊	ART/Char/NPC/NPC_Avatar_Coop/NPC_Coop_Avatar_Girl_Catalyst_Barbara/NPC_Coop_Avatar_Girl_Catalyst_Barbara				2001	ConfigNpc_Common_AnimatorMove	ConfigNpc_Common_AnimatorMove		1	1		
1047	神里绫人	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Male_Sword_Ayato				2001		ConfigNpc_Common_AnimatorMove		1	1		66
1048	夜兰	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Lady_Bow_Yelan				2001		ConfigNpc_Common_AnimatorMove		1	1		60
1049	久岐忍	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Girl_Sword_Shinobu				2001		ConfigNpc_Common_AnimatorMove		1	1		65
1050	提纳里	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Boy_Bow_Tighnari				2001		ConfigNpc_Common_AnimatorMove_Tighnari		1	1		69
1051	柯莱	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Girl_Bow_Collei				2001		ConfigNpc_Common_AnimatorMove		1	1		67
1052	迪希雅	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Lady_Claymore_Dehya				2001		ConfigNpc_Common_AnimatorMove		1	1		79
1053	艾尔海森	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Male_Sword_Alhatham				2001		ConfigNpc_Common_AnimatorMove_Male_Alhatham		1	1		78
1054	妮露	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Girl_Sword_Nilou				2001		ConfigNpc_Common_AnimatorMove		1	1		70
1055	多莉	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Loli_Claymore_Dori				2001		ConfigNpc_Common_AnimatorMove_Dori		1	1		68
