牌子ID	标签	类型	可叠加上限	互斥组	关联组	关联组权重提升值	关联符咒	关联元素	[效果]类型	[效果]关键字	[效果]参数	[效果]显示偏移量	本层结束后失效	动态显示
1	0	1							4		4,1			
2	1	1			11	20			2	SGV_ROGUE_ATTACKBYLEVELENTITY	0			
3	1	2			11	20			2	SGV_ROGUE_CHARGEBYLEVELENTITY	0			
4	1	2			11	20			2	SGV_ROGUE_MUTEHURTBYLEVELENTITY	0			
5	1	2			11	20			2	SGV_ROGUE_DEFENCEBYLEVELENTITY	0			
6	1	2			2	20			1	SGV_ROGUE_BOMBDAMAGE	1			
7	1	2			2	10			1	SGV_ROGUE_BOMBREJECT	1			
8	3	2			3	20			1	SGV_Defence_ChargeTime	1			
9	3	2			3	20			1	SGV_Defence_BattleTime	1			
10	3	2			3	20			1	SGV_Defence_Damage	1			
11	3	2							25					
12	1	1							2	SGV_ROGUE_REVIVEROOMBUFF	1	-1		
13	1	1							2	SGV_ROGUE_BATTLEROOMBUFF	1	-1		
14	1	3							13				1	
15	1	3	3						2	SGV_ROGUE_TRAPBLOCK	2			
16	1	3							6				1	
17	1	2							14		50			
18	1	3	3						7		1		1	
19	1	3							8				1	
20	2	3							12		30			
21	2	3	5						10		1		1	
22	2	2	2						11				1	
23	2	2					101,102,103		1	SGV_Rune_AddLifeTime_SR	1			
24	2	3					101,102,103		1	SGV_Rune_AddLifeTime_R	1			
25	2	2					101,102,103		1	SGV_Rune_Impulse_SR	1			
26	2	1			4	20	101		1	SGV_Rune_FireDamage_SSR	1			
27	2	2			4	20	101		1	SGV_Rune_DamageUp_SR	1			
28	2	3			4	10	101		1	SGV_Rune_DamageUp_R	1			
29	2	2			4	20	101		1	SGV_Rune_FireElementUp_SR	1			
30	2	1			5	20	102		1	SGV_Rune_ElectricDamage_SSR	1			
31	2	2			5	20	102		1	SGV_Rune_EnergyUp_SR	1			
32	2	3			5	10	102		1	SGV_Rune_EnergyUp_R	1			
33	2	2			5	20	102		1	SGV_Rune_EnergyRevive_SR	1			
34	2	1			6	20	103		1	SGV_Rune_ImpulseFallDamage_SSR	1			
35	2	2			6	20	103		1	SGV_Rune_AttackSpeedUp_SR	1			
36	2	2			6	20	103		1	SGV_Rune_MoveSpeedUp_SR	1			
37	2	3			6	10	103		1	SGV_Rune_FallDamage_R	1			
