ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID	ChainID	编辑器可用	是否含有动态屏障
50004001	木棍	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01				0	9	木棍	MonEquip_WoodenClub_01			1				Default_MonsterWeapon			0	
50004002	木盾	ART/Equip/MonEquip/MonEquip_Shield_01/MonEquip_Shield_01				0	9	木盾	MonEquip_Shield_01			1				Default_MonsterWeapon			0	
50004003	火木棍(代枪)	ART/Equip/MonEquip/MonEquip_WoodenClub_Fire/MonEquip_WoodenClub_Fire				0	9	火木棍(代枪)	MonEquip_WoodenClub_Fire_01			1				Default_MonsterWeapon			0	
50004004	怪的弩	ART/Equip/MonEquip/MonEquip_Crossbow_01/MonEquip_Crossbow_01				0	9	怪的弩	MonEquip_Crossbow_01			1				Default_MonsterWeapon			0	
50004006	深渊法杖-火	ART/Equip/MonEquip/MonEquip_Staff_Fire_01/MonEquip_Staff_Fire_01				0	9	深渊法杖-火	MonEquip_Staff_Fire_01			1				Default_MonsterWeapon			0	
50004007	深渊法杖-冰	ART/Equip/MonEquip/MonEquip_Staff_Ice_01/MonEquip_Staff_Ice_01				0	9	深渊法杖-冰	MonEquip_Staff_Ice_01			1				Default_MonsterWeapon			0	
50004008	深渊法杖-水	ART/Equip/MonEquip/MonEquip_Staff_Water_01/MonEquip_Staff_Water_01				0	9	深渊法杖-水	MonEquip_Staff_Water_01			1				Default_MonsterWeapon			0	
50004009	萨满法杖-水	ART/Equip/MonEquip/MonEquip_Wand_Water_01/MonEquip_Wand_Water_01				0	9	萨满法杖-水	MonEquip_Wand_Water_01			1				Default_MonsterWeapon			0	
50004010	萨满法杖-草	ART/Equip/MonEquip/MonEquip_Wand_Grass_01/MonEquip_Wand_Grass_01				0	9	萨满法杖-草	MonEquip_Wand_Grass_01			1				Default_MonsterWeapon			0	
50004011	长木棍	ART/Equip/MonEquip/MonEquip_WoodenClub_02/MonEquip_WoodenClub_02				0	9	长木棍	MonEquip_WoodenClub_02			1				Default_MonsterWeapon			0	
50004012	木大盾	ART/Equip/MonEquip/MonEquip_Shield_02/MonEquip_Shield_02				0	9	木大盾	MonEquip_Shield_02			1				Default_MonsterWeapon			1	
50004013	巨斧	ART/Equip/MonEquip/MonEquip_Axe_01/MonEquip_Axe_01				0	9	巨斧	MonEquip_Axe_01			1				Default_MonsterWeapon			0	
50004014	萨满法杖-风	ART/Equip/MonEquip/MonEquip_Wand_Wind_01/MonEquip_Wand_Wind_01				0	9	萨满法杖-风	MonEquip_Wand_Wind_01			1				Default_MonsterWeapon			0	
50004015	火丘丘-小火把	ART/Equip/MonEquip/MonEquip_Torch_01/MonEquip_Torch_01				0	9	火丘丘-小火把	MonEquip_Torch_01			1				Default_MonsterWeapon			0	
50004016	草丘丘-毒棍	ART/Equip/MonEquip/MonEquip_WoodenClub_01/MonEquip_WoodenClub_01				0	9	草丘丘-毒棍	MonEquip_WoodenClub_Grass_01			1				Default_MonsterWeapon			0	
50004017	火丘丘-弩	ART/Equip/MonEquip/MonEquip_Crossbow_Fire_01/MonEquip_Crossbow_Fire_01				0	9	火丘丘-弩	MonEquip_Crossbow_Fire_01			1				Default_MonsterWeapon			0	
50004018	冰丘丘-弩	ART/Equip/MonEquip/MonEquip_Crossbow_Ice_01/MonEquip_Crossbow_Ice_01				0	9	冰丘丘-弩	MonEquip_Crossbow_Ice_01			1				Default_MonsterWeapon			0	
