图鉴ID	父任务ID	章节ID	序号	已废弃
10010001	351	1001	1	1
10010002	352	1001	2	
10010003	353	1001	3	
10010005	355	1001	5	
10010006	354	1001	6	
10010007	360	1001	7	
10010008	356	1001	8	
10010009	357	1001	9	
10010010	358	1001	10	
10010011	306	1001	11	
10010012	307	1001	12	
10010013	308	1001	13	
10020001	370	1002	14	
10020002	371	1002	15	
10020003	372	1002	16	
10020004	373	1002	17	
10020005	374	1002	18	
10020006	375	1002	19	
10020007	376	1002	20	
10020008	377	1002	21	
10020009	20101	1002	22	
10020010	379	1002	23	
10020011	380	1002	24	
10020012	381	1002	25	
10020013	382	1002	26	
10020014	383	1002	27	
10020015	384	1002	28	
10030001	397	1003	29	
10030002	388	1003	30	
10030003	389	1003	31	
10030004	390	1003	32	
10030005	393	1003	33	
10030006	394	1003	34	
10030007	398	1003	35	
10030008	396	1003	36	
10050001	481	2003	1001	
10050002	480	2003	1002	
10050003	427	2003	1003	
10050004	484	2003	1004	
10050005	485	2003	1005	
10060001	10100	2004	1041	
10060002	10101	2004	1042	
10080001	451	2005	1061	
10080002	452	2005	1062	
10080003	453	2005	1063	
10080004	454	2005	1064	
10090001	10200	2009	1101	
10090002	10201	2009	1102	
10090003	10202	2009	1103	
10110001	10110	2013	1141	
10110002	10111	2013	1142	
10110003	10112	2013	1143	
10110004	10113	2013	1144	
10120001	10500	2010	1161	
10120002	10501	2010	1162	
10120003	10502	2010	1163	
10130001	1000	1101	101	
10130002	1002	1101	102	
10130003	1003	1101	103	
10130004	1008	1101	104	
10130005	1009	1101	105	
10130006	1018	1101	106	
10140001	1010	1102	107	
10140002	1011	1102	108	
10140003	1012	1102	109	
10140004	1014	1102	110	
10140005	1013	1102	111	
10140006	1015	1102	112	
10140007	1016	1102	113	
10150001	1020	1103	114	
10150002	1021	1103	115	
10150003	1022	1103	116	
10150004	1023	1103	117	
10150005	1024	1103	118	
10150006	1025	1103	119	
10160001	11000	2007	2001	
10160002	11001	2007	2002	
10160003	11002	2007	2003	
10160004	11003	2007	2004	
10160005	11004	2007	2005	
10160006	11005	2007	2006	
10170001	12000	2008	2021	
10170002	12001	2008	2022	
10170003	12002	2008	2023	
10170004	12003	2008	2024	
10180001	11010	2012	2041	
10180002	11011	2012	2042	
10180003	11012	2012	2043	
10190001	461	2001	1021	
10190002	462	2001	1022	
10190003	463	2001	1023	
10200001	486	2006	1121	
10200002	487	2006	1122	
10200003	488	2006	1123	
10200004	489	2006	1124	
10200005	490	2006	1125	
10210001	11200	2015	10000	1
10210002	11201	2015	10001	1
10210003	11202	2015	10002	1
10220001	11020	2014	2061	
10220002	11021	2014	2062	
10220003	11022	2014	2063	
10220004	11023	2014	2064	
10220005	11024	2014	2065	
10230001	11100	2011	2101	
10230002	11101	2011	2102	
10230003	11102	2011	2103	
10230004	11103	2011	2104	
10240001	41111	10006	10003	1
10250001	41112	10007	10004	1
10260001	41113	10008	10005	1
10270001	41114	10009	10006	1
10280001	11030	2016	2081	
10280002	11031	2016	2082	
10280003	11032	2016	2083	
10290001	464	2002	1081	
10290002	465	2002	1082	
10290003	466	2002	1083	
10300001	11040	2017	1181	
10300002	11041	2017	1182	
10300003	11042	2017	1183	
10300004	11044	2017	1184	
10300005	11043	2017	1185	
10300006	11045	2017	1186	
10310001	11110	2018	2121	
10310002	11111	2018	2122	
10310003	11112	2018	2123	
10310004	11113	2018	2124	
10320001	8000	1104	201	
10320002	8001	1104	202	
10320003	8002	1104	203	
10320004	8003	1104	204	
10330001	11120	2020	2066	
10330002	11121	2020	2067	
10330003	11122	2020	2068	
10330004	11123	2020	2069	
10334001	10120	2019	1201	
10334002	10121	2019	1202	
10334003	10122	2019	1203	
10350001	2000	1201	301	
10350002	2001	1201	302	
10350003	2002	1201	303	
10360001	12010	2021	3021	
10360002	12011	2021	3022	
10360003	12012	2021	3023	
10360004	12013	2021	3024	
10370001	12004	2022	3001	
10370002	12005	2022	3002	
10370003	12006	2022	3003	
10370004	12007	2022	3004	
10370005	12008	2022	3005	
10400001	2011	1202	401	
10400002	2012	1202	402	
10400003	2013	1202	403	
10400004	2003	1202	404	
10400005	2004	1202	405	
10400006	2005	1202	406	
10400007	2006	1202	407	
10400008	2007	1202	408	
10400009	2008	1203	409	
10400010	2009	1203	410	
10400011	2010	1204	411	
10400012	2014	1204	412	
10400013	2015	1204	413	
10400014	2016	1204	414	
10400015	2017	1204	415	
10400016	2018	1204	416	
10400017	2019	1204	417	
10400018	2020	1204	418	
10400019	2021	1204	419	
10410001	12020	2024	3061	
