ID	过期天数	是否星标	RewardID	是否可收藏
1	30			
2	30			
3	30			
4	30			
5	30			
6	30			
7	30			
8	365			
9	365	1		1
10	365			
11	365			
12	30			
13	30			
14	3		240004	
15	3		240003	
16	3		240003	
17	3		240003	
18	3		240003	
19	365			
20	365			
21	365			
22	365			
23	3		240003	
24	3		240003	
25	3		240003	
26	3		240003	
27	3		240003	
28	3		240003	
29	3		240003	
30	3		240003	
31	3		240003	
32	3		240003	
33	365			
34	3		240003	
35	365	1		1
36	3		240003	
37	365			
38	365			
39	365			
40	3		240003	
41	3		240003	
42	365			
43	365			
44	365			
45	3		240003	
46	365			
47	365			
48	3		240003	
49	3		240003	
50	3		240003	
51	3		240003	
52	3		240003	
53	3		240003	
54	3		240003	
55	3		240003	
56	3		240003	
57	3		240003	
58	3		240003	
59	3		240003	
60	3		240003	
61	3		240003	
62	3		240003	
63	3		240003	
64	3		240003	
65	3		240003	
66	3		240003	
67	3		240003	
68	3		240003	
69	3		240003	
70	3		240003	
71	3		240003	
72	365			
73	365			
74	365			
75	365			
76	365			
77	365			
78	3		240003	
79	3		240003	
80	3		240003	
81	3		240003	
82	365	1		1
83	3		240003	
84	3		240003	
85	3		240003	
86	3		240003	
87	3		240003	
88	3		240003	
89	30			
90	30			
91	365			
92	365			
93	365			
94	3		240003	
95	3		240003	
96	3		240003	
97	3		240003	
98	3		240003	
99	30			
100	3		240003	
