编号,歌曲编号,歌曲难度,评级分数列表,UGC节拍刻度,默认节拍刻度,按键数量
1,1,1,1362#1635#2452#2725,2#4#6,4,102
2,1,2,1685#2022#3033#3370,2#4#6,4,122
3,1,3,2480#2976#4464#4960,2#4#6,4,179
4,2,1,1375#1650#2475#2750,2#4#6,4,97
5,2,2,1817#2181#3271#3635,2#4#6,4,121
6,2,3,2342#2811#4216#4685,2#4#6,4,168
7,3,1,1335#1602#2403#2670,2#4#6,4,99
8,3,2,1870#2244#3366#3740,2#4#6,4,129
9,3,3,2410#2892#4338#4820,2#4#6,4,171
10,4,1,1055#1266#1899#2110,2#4#6,4,77
11,4,2,1387#1665#2497#2775,2#4#6,4,102
12,4,3,1777#2133#3199#3555,2#4#6,4,135
13,5,1,1075#1290#1935#2150,2#4#6,4,101
14,5,2,1575#1890#2835#3150,2#4#6,4,133
15,5,3,2320#2784#4176#4640,2#4#6,4,178
16,6,1,1112#1335#2002#2225,3#4#6,3,99
17,6,2,1635#1962#2943#3270,3#4#6,3,127
18,6,3,2252#2703#4054#4505,3#4#6,3,156
19,7,1,1192#1431#2146#2385,2#4#6,4,102
20,7,2,1750#2100#3150#3500,2#4#6,4,132
21,7,3,2457#2949#4423#4915,2#4#6,4,178
