对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
100001	2	1		1	100001	2										6		10000101		1005	1000					
100002	2	1	1	1	100002	2		1	100005	2						6		10000201		203601	1000					
10000201	2	1	1	1	100002	2		1	100005	3						6		10000221		203601	1000					
10000202	2	1	1	1	100002	3		1	100006	2						6		10000231		203601	1000					
10000203	2	1	1	1	100006	3		1	100007	2						6		10000231		203601	1000					
100003	2	1	1	1	100003	2		1	100005	2						6		10000301		202301	1000					
10000301	2	1	1	1	100003	2		1	100005	3						6		10000321		202301	1000					
10000302	2	1	1	1	100003	3		1	100006	2						6		10000331		202301	1000					
10000304	2	1	1	1	100006	3		1	100007	2						6		10000331		202301	1000					
10000303	2	1	1	1	100003	3		1	100006	2						6		10000333		200901	1000					
10000305	2	1	1	1	100006	3		1	100007	2						6		10000333		200901	1000					
100004	2	1	1	1	100004	2		1	100005	2						6		10000401		201301	1000					
10000401	2	1	1	1	100004	2		1	100005	3						6		10000421		201301	1000					
10000402	2	1	1	1	100004	3		1	100006	2						6		10000411		201301	1000					
10000405	2	1	1	1	100006	3		1	100007	2						6		10000411		201301	1000					
10000403	2	1	1	1	100004	3		1	100006	2						6		10000413		201101	1000					
10000404	2	1	1	1	100004	3		1	100006	2						6		10000414		162501	1000					
10000406	2	1	1	1	100006	3		1	100007	2						6		10000413		201101	1000					
10000407	2	1	1	1	100006	3		1	100007	2						6		10000414		162501	1000					
100021	2	1	1	1	100021	2		1	100023	2						6		10002101		2003002	1000					
10002101	2	1	1	1	100021	2		1	100023	3						6		10002111		2003002	1000					
10002102	2	1	1	1	100021	3		1	100024	2						6		10002113		209001	1000					
10002103	2	1	1	1	100024	3		1	100026	2						6		10002113		209001	1000					
100022	2	1	1	1	100022	2		1	100023	2						6		10002201		2003003	1000					
10002201	2	1	1	1	100022	2		1	100023	3						6		10002211		2003003	1000					
10002202	2	1	1	1	100022	3		1	100024	2						6		10002208		207201	1000					
10002203	2	1	1	1	100024	3		1	100026	2						6		10002208		207201	1000					
100015	1	1		1	100015	2										6		10001501		1005	1000					
100013	1	1		1	100013	2										6		10001301		10200	1000					
100014	2	1		1	100014	2										6		10001401		10200	1000					
100101	1	1		1	100101	2										6		10010101		2002901	1000					
100102	1	1		1	100101	2										6		10010103		2003001	1000					
100103	2	1	1	1	100403	2		1	100012	3						6		10002221		2003007						
100202	1	1		1	100202	2										5		10020201		1005	1002					
100205	1	1		1	100205	2										5		10020501		2002801	1002					
100399	2	1	1	1	100303	2		1	100319	2		1	99902	3		5		10030301		10204	1003					
100398	2	1		1	100303	2										5		10030304		10204	1003					
100304	2	1		1	100304	2										5		10030401		220801	1003					
100306	2	1		1	100306	2										5		10030601		220401	1003					
100308	2	1		1	100308	2										5		10030801		1005	1003					
100309	2	1		1	100309	2										5		10030901		220401	1003					
100310	2	1		1	100310	2										7		10031001		220801	1003					
100315	2	1		1	100315	2										5		10031501		231101	1003					
100316	2	1		1	100316	2										5		10031601		220401	1003					
100317	2	1	1	1	100317	2		3	100428	1						5		10031701		10204	1003					
100395	2	1		1	100304	2										6	100304,100394,100393,100392	10039501		220801	1003					
100394	2	1														5		10039401		220801	1003					
100393	2	1														5		10039301		220801	1003					
100392	2	1														5		10039201		220801	1003					
100391	2	1	2	1	100307	2		1	100308	2						5		10039101		220401	1003					
100390	2	1	2	1	100310	2		1	100321	2		1	100311	2		5		10039001		220401	1003					
100389	2	1		1	100317	2										5		10038901		220401	1003					
100388	2	1	2	1	100305	2		1	100306	2		1	100307	2		6	100394,100393,100392	10038801		220801	1003					
100386	2	1	2	1	100308	2		1	100309	2						6	100394,100393,100392	10038801		220801	1003					
100387	2	1	2	1	100321	2		1	100311	2						6	100394,100393,100392	10038701		220801	1003					
100397	2	1		1	101801	2										5		10031801		10200	1018					
100396	2	1		1	99902	3										5		10031801		10200	1018					
100701	1	1		1	100701	2										6		10010111		2003013	1007					
100702	1	1		1	100701	2										6		10010121		2003014	1007					
100802	2	1		1	100802	2										5		10080201		10259	1008					
100899	2	1	1	1	100802	3		1	100803	2						5		10089901		10259	1008					
100805	2	1	1	1	100805	2		1	100802	3						5		10080501		10260						
100898	2	1	1	1	100805	2		1	100802	4						5		10089801		10260						
100806	2	1	1	1	100806	2		1	100802	3						5		10080601		10259	1008					
100897	2	1	1	1	100806	2		1	100802	4						5		10089701		10259	1008					
100807	2	1		1	100807	2										5		10080701		10257	1008					
100915	2	1		1	100915	2										5		10091501		1005	1009					
100902	2	1		1	100902	2										5		10090201		10276	1009					
100999	2	1	4	1	100902	3		1	100907	2		1	100906	2		5		10099901		10276	1009					
100903	2	1		1	100903	2										5		10090301		10277	1009					
100998	2	1	4	1	100903	3		1	100908	2		1	100906	2		5		10099801		10277	1009					
100904	2	1		1	100904	2										5		10090401		10278	1009					
100997	2	1	4	1	100904	3		1	100909	2		1	100906	2		5		10099701		10278	1009					
100913	2	1		1	100913	2										5		10091301		10258	1009					
100914	2	1		1	100914	2										5		10091401		10258	1009					
100996	2	1	2	41	100911	1		1	100914	3						5		10099601		10305						
100993	2	1														5		10099301		10311						
100992	2	1	2	41	100807	1		1	100807	2						5		10099201		10312						
100991	2	1		41	100912	1										5		10099101		10313						
100990	2	1	4	1	100914	3		41	7180207	1		1	7180206	3		5		10099001		10314						
100989	2	1		1	100807	3										5		10098901		10315						
101002	2	1		1	101002	2										6		10100201		10235	1010					
10100201	2	1		1	101003	2										6		10100221		10235	1010					
101003	2	1		1	101003	2										6		10100301		10200	1010					
101005	1	1		1	101005	2										6		10100501		10232	1010					
10100501	2	1	1	1	101005	3		1	101006	2						6		10100580		10200	1010					
101006	2	1		1	101006	2										6		10100601		10232	1010					
101101	2	1		1	101101	2										6		10110101		205401	1011					
10110101	2	1		1	101102	2										6		10110191		205401	1011					
101104	2	1		1	101104	2										6		10110401		1005	1011					
10110701	2	1		1	101107	2										6	10110711,10110721,10110731	10110701		205401	1011					
10110711				1	101110	2										6	10110781	10110711		1005	1011					
10110721				1	101111	2										6	10110781	10110721		1005	1011					
10110781				1	101107	2										6	10110711,10110721,10110731	10110781		1005	1011					
10110731				1	101107	2										6		10110731		1005	1011					
10110801	2	1		1	101108	2										6		10110801		205401	1011					
101109	2	1		1	101109	2										6		10110901		10232	1011					
101202	2	1		1	101202	2										6	101206	10120201		201301	1012					
101203	2	1		1	101203	2										6		10120301		201601	1012					
101204	2	1		1	101204	2										6		10120401		201501	1012					
101205	2	1		1	101205	2										6		10120501		208301	1012					
101206		1														6		10120601		10232	1012					
101211	2	1		1	101213	2										6		10121101		208301	1012					
101212	2	1		1	101214	2										6		10121201		208301	1012					
101213	2	1		1	101215	2										6		10121301		208301	1012					
101214	2	1		1	101202	3										5		10121401		201301	1012					
101215	2	1		1	101203	3										5		10121501		201601	1012					
101216	2	1		1	101204	3										5		10121601		201501	1012					
101217	2	1		1	101209	3		1	101401	2						5		10121701		10232						
101218	2	1		1	101210	2										5		10121801		208301	1012					
101219	2	1		1	101206	2										5		10121901		208301	1012					
101208	2	1		1	101209	2										6		10120801		10232	1012					
101209	2	1		1	99902	2										6		10120901		1206	1012					
101301	2	1		1	101301	2										6		10130101		209201	1013					
101303	2	1	1	1	101303	2		3	100496	20000						6		10130301		10248	1013					
101399		1														6		10139901		10248	1013					
101397		1														6		10139701		10248	1013					
101395		1														6		10139501		10248	1013					
101394		1														6		10139401		10248	1013					
101304		1														6		10130401		10248	1013					
101396	2	1	1	1	101304	2		3	100496	20000						6		10130401		10248	1013					
