鱼群ID,类型,鱼种随机池
1,2,1:50#2:80
2,2,
3,3,1:50#2:80
4,1,5:50#6:50#10:50#11:50#17:50#18:50
1011,1,1:300#4:300
1012,1,1:0#1001:100
10011,2,1:300#1001:10#4:300#1004:10#12:200#1012:12#16:300#1016:20#6:100#1006:8
10012,3,1:300#1001:10#4:300#1004:10#12:200#1012:12#9:300#1009:20#5:100#1005:8
10021,2,1:300#1001:10#4:300#1004:10#16:300#1016:20
10022,3,1:300#1001:10#4:300#1004:10#9:300#1009:20
10031,2,1:300#1001:10#4:300#1004:10#6:100#1006:8
10032,3,1:300#1001:10#4:300#1004:10#5:100#1005:8
10041,2,1:300#1001:10#4:300#1004:10#16:300#1016:20
10042,3,1:300#1001:10#4:300#1004:10#5:100#1005:8
10051,2,4:300#1004:10#13:200#1013:12#16:300#1016:20#6:100#1006:8
10052,3,4:300#1004:10#13:200#1013:12#9:300#1009:20
10061,2,4:300#1004:10#21:200#1021:12#20:200#1020:12#16:300#1016:20#10:200#1010:15
10062,3,4:300#1004:10#21:200#1021:12#20:200#1020:12#9:300#1009:20#5:100#1005:8
10071,2,1:300#1001:10#16:300#1016:20
10072,3,1:300#1001:10#9:300#1009:20#11:400#1011:100
10081,2,1:300#1001:10#4:300#1004:10#21:200#1021:12#20:200#1020:12#16:300#1016:20#10:200#1010:15
10082,3,1:300#1001:10#4:300#1004:10#21:200#1021:12#20:200#1020:12#9:300#1009:20
10091,2,1:300#1001:100#4:300#1004:100#12:200#1012:100#13:200#1013:100#6:100#1006:100
10092,3,1:300#1001:100#4:300#1004:100#12:200#1012:100#13:200#1013:100#9:300#1009:100#5:100#1005:100
10101,2,1:300#1001:100#4:300#1004:100#16:300#1016:100#6:100#1006:100
10102,3,1:300#1001:100#4:300#1004:100#9:300#1009:100
10111,2,1:300#1001:100#4:300#1004:100#21:200#20:200#1020:100#16:300#1016:100
10112,3,1:300#1001:100#4:300#1004:100#21:200#20:200#1020:100#9:300#1009:100#5:100#1005:100
10121,2,1:300#1001:100#4:300#1004:100#21:200#20:200#1020:100#16:300#1016:100#6:100#1006:100
10122,3,1:300#1001:100#4:300#1004:100#21:200#20:200#1020:100#5:100#1005:100
