方案编号,等级,普通战令奖励ID1,付费战令奖励ID1,付费战令奖励ID2,高级区展示
3,1,1001001,1001101,0,0
3,2,1001002,1001102,0,0
3,3,1001003,1001103,0,0
3,4,1001004,1001104,0,0
3,5,1001005,1001105,1010305,1
3,6,1001006,1001106,0,0
3,7,1001007,1001107,0,0
3,8,1001008,1001108,0,0
3,9,1001009,1001109,0,0
3,10,1001010,1001110,1010310,1
3,11,1001011,1001111,0,0
3,12,1001012,1001112,0,0
3,13,1001013,1001113,0,0
3,14,1001014,1001114,0,0
3,15,1001015,1001115,1010315,1
3,16,1001016,1001116,0,0
3,17,1001017,1001117,0,0
3,18,1001018,1001118,0,0
3,19,1001019,1001119,0,0
3,20,1001020,1001120,1010320,1
3,21,1001021,1001121,0,0
3,22,1001022,1001122,0,0
3,23,1001023,1001123,0,0
3,24,1001024,1001124,0,0
3,25,1001025,1001125,1010325,1
3,26,1001026,1001126,0,0
3,27,1001027,1001127,0,0
3,28,1001028,1001128,0,0
3,29,1001029,1001129,0,0
3,30,1001030,1001130,1010330,1
3,31,1001031,1001131,0,0
3,32,1001032,1001132,0,0
3,33,1001033,1001133,0,0
3,34,1001034,1001134,0,0
3,35,1001035,1001135,1010335,1
3,36,1001036,1001136,0,0
3,37,1001037,1001137,0,0
3,38,1001038,1001138,0,0
3,39,1001039,1001139,0,0
3,40,1001040,1001140,1010340,1
3,41,1001041,1001141,0,0
3,42,1001042,1001142,0,0
3,43,1001043,1001143,0,0
3,44,1001044,1001144,0,0
3,45,1001045,1001145,1010345,1
3,46,1001046,1001146,0,0
3,47,1001047,1001147,0,0
3,48,1001048,1001148,0,0
3,49,1001049,1001149,0,0
3,50,1001050,1001150,1010350,1
2,1,1001001,1001101,0,0
2,2,1001002,1001102,0,0
2,3,1001003,1001103,0,0
2,4,1001004,1001104,0,0
2,5,1001005,1001105,1010205,1
2,6,1001006,1001106,0,0
2,7,1001007,1001107,0,0
2,8,1001008,1001108,0,0
2,9,1001009,1001109,0,0
2,10,1001010,1001110,1010210,1
2,11,1001011,1001111,0,0
2,12,1001012,1001112,0,0
2,13,1001013,1001113,0,0
2,14,1001014,1001114,0,0
2,15,1001015,1001115,1010215,1
2,16,1001016,1001116,0,0
2,17,1001017,1001117,0,0
2,18,1001018,1001118,0,0
2,19,1001019,1001119,0,0
2,20,1001020,1001120,1010220,1
2,21,1001021,1001121,0,0
2,22,1001022,1001122,0,0
2,23,1001023,1001123,0,0
2,24,1001024,1001124,0,0
2,25,1001025,1001125,1010225,1
2,26,1001026,1001126,0,0
2,27,1001027,1001127,0,0
2,28,1001028,1001128,0,0
2,29,1001029,1001129,0,0
2,30,1001030,1001130,1010230,1
2,31,1001031,1001131,0,0
2,32,1001032,1001132,0,0
2,33,1001033,1001133,0,0
2,34,1001034,1001134,0,0
2,35,1001035,1001135,1010235,1
2,36,1001036,1001136,0,0
2,37,1001037,1001137,0,0
2,38,1001038,1001138,0,0
2,39,1001039,1001139,0,0
2,40,1001040,1001140,1010240,1
2,41,1001041,1001141,0,0
2,42,1001042,1001142,0,0
2,43,1001043,1001143,0,0
2,44,1001044,1001144,0,0
2,45,1001045,1001145,1010245,1
2,46,1001046,1001146,0,0
2,47,1001047,1001147,0,0
2,48,1001048,1001148,0,0
2,49,1001049,1001149,0,0
2,50,1001050,1001150,1010250,1
1,1,1001001,1001101,0,0
1,2,1001002,1001102,0,0
1,3,1001003,1001103,0,0
1,4,1001004,1001104,0,0
1,5,1001005,1001105,1010105,1
1,6,1001006,1001106,0,0
1,7,1001007,1001107,0,0
1,8,1001008,1001108,0,0
1,9,1001009,1001109,0,0
1,10,1001010,1001110,1010110,1
1,11,1001011,1001111,0,0
1,12,1001012,1001112,0,0
1,13,1001013,1001113,0,0
1,14,1001014,1001114,0,0
1,15,1001015,1001115,1010115,1
1,16,1001016,1001116,0,0
1,17,1001017,1001117,0,0
1,18,1001018,1001118,0,0
1,19,1001019,1001119,0,0
1,20,1001020,1001120,1010120,1
1,21,1001021,1001121,0,0
1,22,1001022,1001122,0,0
1,23,1001023,1001123,0,0
1,24,1001024,1001124,0,0
1,25,1001025,1001125,1010125,1
1,26,1001026,1001126,0,0
1,27,1001027,1001127,0,0
1,28,1001028,1001128,0,0
1,29,1001029,1001129,0,0
1,30,1001030,1001130,1010130,1
1,31,1001031,1001131,0,0
1,32,1001032,1001132,0,0
1,33,1001033,1001133,0,0
1,34,1001034,1001134,0,0
1,35,1001035,1001135,1010135,1
1,36,1001036,1001136,0,0
1,37,1001037,1001137,0,0
1,38,1001038,1001138,0,0
1,39,1001039,1001139,0,0
1,40,1001040,1001140,1010140,1
1,41,1001041,1001141,0,0
1,42,1001042,1001142,0,0
1,43,1001043,1001143,0,0
1,44,1001044,1001144,0,0
1,45,1001045,1001145,1010145,1
1,46,1001046,1001146,0,0
1,47,1001047,1001147,0,0
1,48,1001048,1001148,0,0
1,49,1001049,1001149,0,0
1,50,1001050,1001150,1010150,1
