ID	角色ID	开启条件1类型	开启条件1参数列表
10401	10000021		
10402	10000021	1	2
10403	10000021	1	4
4401	10000003		
4402	10000003	1	2
4403	10000003	1	4
1401	10000005		
1402	10000005		
1403	10000005		
5401	10000006		
5402	10000006	1	2
5403	10000006	1	4
2401	10000007		
2402	10000007		
2403	10000007		
6401	10000014		
6402	10000014	1	2
6403	10000014	1	4
7401	10000015		
7402	10000015	1	2
7403	10000015	1	4
8401	10000016		
8402	10000016	1	2
8403	10000016	1	4
9401	10000020		
9402	10000020	1	2
9403	10000020	1	4
11401	10000022		
11402	10000022	1	2
11403	10000022	1	4
12401	10000023		
12402	10000023	1	2
12403	10000023	1	4
14401	10000024		
14402	10000024	1	2
14403	10000024	1	4
13401	10000025		
13402	10000025	1	2
13403	10000025	1	4
15401	10000027		
15402	10000027	1	2
15403	10000027	1	4
18401	10000029		
18402	10000029	1	2
18403	10000029	1	4
17401	10000030		
17402	10000030	1	2
17403	10000030	1	4
19401	10000031		
19402	10000031	1	2
19403	10000031	1	4
20401	10000032		
20402	10000032	1	2
20403	10000032	1	4
23401	10000033		
23402	10000033	1	2
23403	10000033	1	4
21401	10000034		
21402	10000034	1	2
21403	10000034	1	4
24401	10000035		
24402	10000035	1	2
24403	10000035	1	4
22401	10000036		
22402	10000036	1	2
22403	10000036	1	4
25401	10000037		
25402	10000037	1	2
25403	10000037	1	4
35401	10000038		
35402	10000038	1	2
35403	10000038	1	4
34401	10000039		
34402	10000039	1	2
34403	10000039	1	4
30401	10000041		
30402	10000041	1	2
30403	10000041	1	4
32401	10000042		
32402	10000042	1	2
32403	10000042	1	4
31401	10000043		
31402	10000043	1	2
31403	10000043	1	4
33401	10000044		
33402	10000044	1	2
33403	10000044	1	4
16401	10000026		
16402	10000026	1	2
16403	10000026	1	4
36401	10000046		
36402	10000046	1	2
36403	10000046	1	4
37401	10000045		
37402	10000045	1	2
37403	10000045	1	4
38401	10000048		
38402	10000048	1	2
38403	10000048	1	4
39401	10000051		
39402	10000051	1	2
39403	10000051	1	4
47401	10000047		
47402	10000047	1	2
47403	10000047	1	4
3401	10000002		
3402	10000002	1	2
3403	10000002	1	4
49401	10000049		
49402	10000049	1	2
49403	10000049	1	4
53401	10000053		
53402	10000053	1	2
53403	10000053	1	4
52401	10000052		
52402	10000052	1	2
52403	10000052	1	4
54401	10000054		
54402	10000054	1	2
54403	10000054	1	4
56401	10000056		
56402	10000056	1	2
56403	10000056	1	4
62401	10000062		
62402	10000062	1	2
62403	10000062	1	4
50401	10000050		
50402	10000050	1	2
50403	10000050	1	4
55401	10000055		
55402	10000055	1	2
55403	10000055	1	4
57401	10000057		
57402	10000057	1	2
57403	10000057	1	4
63401	10000063		
63402	10000063	1	2
63403	10000063	1	4
64401	10000064		
64402	10000064	1	2
64403	10000064	1	4
58401	10000058		
58402	10000058	1	2
58403	10000058	1	4
66401	10000066		
66402	10000066	1	2
66403	10000066	1	4
60401	10000060		
60402	10000060	1	2
60403	10000060	1	4
65401	10000065		
65402	10000065	1	2
65403	10000065	1	4
59401	10000059		
59402	10000059	1	2
59403	10000059	1	4
67401	10000067		
67402	10000067	1	2
67403	10000067	1	4
68401	10000068		
68402	10000068	1	2
68403	10000068	1	4
69401	10000069		
69402	10000069	1	2
69403	10000069	1	4
70401	10000070		
70402	10000070	1	2
70403	10000070	1	4
71401	10000071		
71402	10000071	1	2
71403	10000071	1	4
72401	10000072		
72402	10000072	1	2
72403	10000072	1	4
73401	10000073		
73402	10000073	1	2
73403	10000073	1	4
74401	10000074		
74402	10000074	1	2
74403	10000074	1	4
