子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]4类型	[执行]4参数1	[执行]4参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
34800	348	1			1		1	99902	3											24	3481701			16																																																																									
34801	348	2			1															2	34801																																						23	3481701	1																																				
34802	348	3			1															2	34802																																						23	3481701	1																																				
34803	348	4			1															2	34803																																						23	3481701	1																																				
34804	348	5			1															2	34804																																						23	3481701	1																																				
34805	348	6			1															2	34805																																						23	3481701	1																																				
34806	348	7			1															2	34806																																						23	3481701	1																																				
34807	348	8			1															2	34807																																						23	3481701	1																																				
34808	348	9			1															2	34808																																						23	3481701	1																																				
34809	348	10			1															2	34809																																						23	3481701	1																																				
34810	348	11			1															2	34810																																						23	3481701	1																																				
34811	348	12			1															2	34811																																						23	3481701	1																																				
34812	348	13			1															2	34812																																						23	3481701	1																																				
34813	348	14			1															2	34813																																						23	3481701	1																																				
34814	348	15			1															2	34814																																						23	3481701	1																																				
34815	348	16			1															2	34815																																						23	3481701	1																																				
34816	348	17			1															2	34816																																						23	3481701	1																																				
34817	348	18			1															24	3481701			16																																			30																																						
34900	349	1			1		1	99902	3											24	3491301			12																																																																									
34901	349	2			1															2	34901																																						23	3491301	1																																				
34902	349	3			1															2	34902																																						23	3491301	1																																				
34903	349	4			1															2	34903																																						23	3491301	1																																				
34904	349	5			1															2	34904																																						23	3491301	1																																				
34905	349	6			1															2	34905																																						23	3491301	1																																				
34906	349	7			1															2	34906																																						23	3491301	1																																				
34907	349	8			1															2	34907																																						23	3491301	1																																				
34908	349	9			1															2	34908																																						23	3491301	1																																				
34909	349	10			1															2	34909																																						23	3491301	1																																				
34910	349	11			1															2	34910																																						23	3491301	1																																				
34911	349	12			1															2	34911																																						23	3491301	1																																				
34912	349	13			1															2	34912																																						23	3491301	1																																				
34913	349	14			1															24	3491301			12																																			30																																						
35001	350	1			1														2	2	30902				2	30904																												1																																											
35104	351	1			1															4	35104																						2		1005					3			1			1																																									
