ID,默认显示,DisplayID,SeriesID,Display参数
10701001,0,10701001,10701,1
10701002,0,10701002,10701,1
10701003,0,10701003,10701,1
10701004,0,10701004,10701,1
10701005,0,10701005,10701,1
10701006,0,10701006,10701,1
10701007,0,10701007,10701,1
10701008,0,10701008,10701,1
10701009,0,10701009,10701,1
10701010,0,10701010,10701,1
10701011,0,10701011,10701,1
10701012,0,10701012,10701,1
10701013,0,10701013,10701,1
10701014,0,10701014,10701,1
10701015,0,10701015,10701,1
10701016,0,10701016,10701,1
10701017,0,10701017,10701,1
10701018,0,10701018,10701,1
10701019,0,10701019,10701,1
10701020,0,10701020,10701,1
10701021,0,10701021,10701,1
10701022,0,10701022,10701,1
10701023,0,10701023,10701,1
10701024,0,10701024,10701,1
10701025,0,10701025,10701,1
10701026,0,10701026,10701,1
10701027,0,10701027,10701,1
10701028,0,10701028,10701,1
