ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	武器种类	武器阶数	武器材质	元素类型	金武器	武器初始经验	初始技能词缀1	初始技能词缀2	精炼道具	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线	武器突破ID	精炼摩拉消耗	强化规则	摧毁规则	摧毁返还道具	摧毁返还数量	是否初始锁定
11101	4	1	10	50011101	0			武器	1	1				600				4	23.245	1101	0	0	2101	11101		0	1	104011	1	0
11201	4	1	10	50011201	0			武器	1	2				1200				4	32.93	1101	0	0	2101	11201		0	1	104011	2	0
11301	4	1	10	50011301	0			武器	1	3				1800	111301			4	38.7413	1101	6	0.0766	2101	11301	500,1000,2000,4000	0	1	104011	3	0
11302	4	1	10	50011302	0			武器	1	3				1800	111302			4	38.7413	1101	22	0.102	2101	11302	500,1000,2000,4000	0	1	104011	3	0
11303	4	1	10	50011303	0			武器	1	3				1800	111303			4	39.8751	1102	9	0.063733	2101	11303	500,1000,2000,4000	0	1	104011	3	0
11304	4	1	10	50011304	0			武器	1	3				1800	111304			4	38.7413	1101	28	30.6	2101	11304	500,1000,2000,4000	0	1	104011	3	0
11305	4	1	10	50011305	0			武器	1	3				1800	111305			4	38.7413	1101	6	0.0766	2101	11305	500,1000,2000,4000	0	1	104011	3	0
11306	4	1	10	50011306	0			武器	1	3				1800	111306			4	37.6075	1104	23	0.113333	2101	11306	500,1000,2000,4000	0	1	104011	3	0
11401	4	1	10	50011401	0			武器	1	4				50000	111401			4	41.0671	1204	23	0.133333	2201	11401	1000,2000,4000,8000	0	0	0	0	2
11402	4	1	10	50011402	0			武器	1	4				50000	111402			4	42.401	1201	6	0.09	2201	11402	1000,2000,4000,8000	0	0	0	0	2
11403	4	1	10	50011403	0			武器	1	4				50000	111403			4	41.0671	1204	23	0.133333	2201	11403	1000,2000,4000,8000	0	0	0	0	2
11404	4	1	10	50011404	0			武器	1	4				50000	111404			4	42.401	1201	6	0.09	2201	11404	1000,2000,4000,8000	0	0	0	0	2
11405	4	1	10	50011405	0			武器	1	4				50000	111405			4	42.401	1201	6	0.09	2201	11405	1000,2000,4000,8000	0	0	0	0	2
11406	4	1	10	50011406	0			武器	1	4				50000	111406			4	43.7349	1202	30	0.075067	2201	11406	1000,2000,4000,8000	0	0	0	0	2
11407	4	1	10	50011407	0			武器	1	4				50000	111407			4	42.401	1201	28	36	2201	11407	1000,2000,4000,8000	0	0	0	0	2
11408	4	1	10	50011408	0			武器	1	4				50000	111408			4	43.7349	1202	22	0.08	2201	11408	1000,2000,4000,8000	0	0	0	0	2
11409	4	1	10	50011409	0			武器	1	4				50000	111409			4	42.401	1201	20	0.06	2201	11409	1000,2000,4000,8000	0	0	0	0	2
11410	4	1	10	50011410	0			武器	1	4				50000	111410			4	45.0687	1203	28	11.999988	2201	11410	1000,2000,4000,8000	0	0	0	0	2
