ID,[条件]1类型,[条件]1参数,[条件]2类型,[条件]2参数,SceneID,GroupID,传送点Configid组,各阶段时间,GalleryID
1001001,1,3,,,3,133004471,471007#471008#471009#471010,10#70#40#240#20,7001
1001002,1,3,,,3,133004004,4064#4065#4066#4067,10#70#40#240#20,7002
1001003,1,5,,,3,133004002,2064#2065#2066#2067,10#70#40#240#20,7003
1001004,1,5,,,3,133004005,5064#5065#5066#5067,10#70#40#240#20,7004
1001005,1,10,,,3,133004009,9064#9065#9066#9067,10#70#40#240#20,7005
1001006,1,5,,,3,133102171,171101#171102#171103#171104,10#70#40#240#20,7015
1001009,2,201310,1,11,3,133209064,64072#64073#64074# 64075,10#70#40#240#20,7018
1001011,2,201310,1,11,3,133220693,693072#693073#693074#693075,10#70#40#240#20,7020
1001012,2,201310,1,13,3,133212588,588072#588073#588074#588075,10#70#40#240#20,7021
1001013,2,201310,1,12,3,133213553,553072#553073#553074#553075,10#70#40#240#20,7022
1001015,1,1,,,3,133003046,46072#46073#46074#46075,10#70#40#240#20,7024
1001019,1,7,,,3,133104657,657072#657073#657074#657075,10#70#40#240#20,7028
1001022,1,3,,,3,133002131,131073#131074#131075#131076,10#70#40#240#20,7031
1001023,1,10,,,3,133002134,134110#134111#134112#134113,10#70#40#240#20,7032
1001026,1,3,,,3,133002097,97069#97070#97071#97072,10#70#40#240#20,7042
