ID	开始日期	结束日期	周期分划列表	典藏购买奖励ID	典藏购买增加点数	购买等级消耗原石数	每周期点数上限	背包超限邮件ID	等级奖励方案编号	结束补奖邮件ID	第几天发邮件	邮件ID
9998	2020-09-13 00:00:00	2020-11-10 00:00:00	1,7,7,7,7,7,7,7,7,2	1000001	10000	150	10000	6	1	5		
1100	1998-03-23	1998-04-23	7,7,7,7,7,7	1000002	10000	150	10000	6	1	5		
1200	1998-03-23	1998-04-23	7,7,7,7,7,7	1000003	10000	150	10000	6	1	5		
1300	1998-03-23	1998-04-23	7,7,7,7,7,7	1000004	10000	150	10000	6	1	5		
1400	1998-03-23	1998-04-23	7,7,7,7,7,7	1000005	10000	150	10000	6	1	5		
1500	1998-03-23	1998-04-23	7,7,7,7,7,7	1000006	10000	150	10000	6	1	5	39	14
1600	1998-03-23	1998-04-23	7,7,7,7,7,7	1000007	10000	150	10000	6	1	5	39	14
2000	1998-03-23	1998-04-23	7,7,7,7,7,7	1000020	10000	150	10000	6	2	5	39	14
2100	1998-03-23	1998-04-23	7,7,7,7,7,7	1000021	10000	150	10000	6	2	5	39	14
2200	1998-03-23	1998-04-23	7,7,7,7,7,7	1000022	10000	150	10000	6	2	5	39	14
2300	1998-03-23	1998-04-23	7,7,7,7,7,7	1000023	10000	150	10000	6	2	5	39	14
2400	1998-03-23	1998-04-23	7,7,7,7,7,7	1000024	10000	150	10000	6	2	5	39	14
2500	1998-03-23	1998-04-23	7,7,7,7,7,7	1000025	10000	150	10000	6	2	5	39	14
2600	1998-03-23	1998-04-23	7,7,7,7,7,7	1000026	10000	150	10000	6	2	5	39	14
2700	1998-03-23	1998-04-23	7,7,7,7,7,7	1000027	10000	150	10000	6	2	5	39	14
2800	1998-03-23	1998-04-23	7,7,7,7,7,7	1000028	10000	150	10000	6	2	5	39	14
3000	1998-03-23	1998-04-23	7,7,7,7,7,7	1000030	10000	150	10000	6	3	5	32	14
3100	1998-03-23	1998-04-23	7,7,7,7,7,7	1000031	10000	150	10000	6	3	5	32	14
3200	1998-03-23	1998-04-23	7,7,7,7,7,7	1000032	10000	150	10000	6	3	5	32	14
