ID,消耗点数,卡牌类型,效果ID,持续波数,关联机关ID
1,160,1,1,,4
2,160,1,2,,
3,160,1,3,,
4,160,1,4,,
5,160,1,5,,
6,160,1,6,,6
7,40,1,7,,4
8,40,1,8,,
9,40,1,9,,
10,40,1,10,,
11,40,1,11,,
12,40,1,12,,6
13,120,1,13,,
14,120,1,14,,
15,120,1,15,,
17,80,1,17,,4
18,80,1,18,,
19,80,1,19,,
20,80,1,20,,
21,80,1,21,,
22,40,1,22,,4
23,40,1,23,,
24,40,1,24,,
25,40,1,25,,
26,40,1,26,,
27,40,1,27,,6
28,40,1,28,,7
29,40,1,29,,8
30,40,1,30,,9
31,40,1,31,,10
32,75,1,32,,
33,75,1,33,,
34,75,1,34,,
35,300,1,35,,4
36,300,1,36,,
37,300,1,37,,
38,300,1,38,,
39,300,1,39,,
40,300,1,40,,6
41,200,1,41,,7
42,200,1,42,,8
43,250,1,43,,9
44,0,1,44,,
45,200,1,45,,
46,200,1,46,,
47,200,1,47,,
48,200,2,48,,4
49,200,2,49,,
50,200,2,50,,
51,200,2,51,,
52,200,2,52,,
53,200,2,53,,6
54,120,2,54,,4
55,120,2,55,,
56,120,2,56,,
57,120,2,57,,
58,120,2,58,,
59,120,2,59,,6
60,200,2,60,,
61,200,2,61,,
62,200,2,62,,
64,200,2,64,,
65,0,3,65,1,
66,0,3,66,1,
67,0,3,67,1,
68,0,3,68,1,
69,0,3,69,1,
70,0,3,70,1,
71,0,3,71,1,
72,0,3,72,1,
73,0,3,73,1,
74,0,3,74,1,
75,0,3,75,1,
