ServerBuffID	ServerBuff类型	Ability名称	Modifier名称	组ID	持续时间	自身叠加类型	是否存档	LeaveScene是否下掉Buff
1	1	Item_Food_Attack	SERVER_AttackModifier	1	180	0	1	
2	1	Item_Food_Defence	SERVER_DefenceModifier	1	180	0	1	
3	1	Item_Food_MaxHP	SERVER_MaxHPModifier	2	180	0	1	
100101	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv1_1	10	31	0	1	
100102	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv1_2	10	31	0	1	
100103	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv1_3	10	31	0	1	
100104	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv1_4	10	31	0	1	
100201	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv2_1	10	31	0	1	
100202	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv2_2	10	31	0	1	
100203	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv2_3	10	31	0	1	
100204	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv2_4	10	31	0	1	
100301	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv3_1	10	31	0	1	
100302	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv3_2	10	31	0	1	
100303	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv3_3	10	31	0	1	
100304	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv3_4	10	31	0	1	
105101	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv51_1	10		0	1	
105102	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv51_2	10		0	1	
105103	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv51_3	10		0	1	
105104	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv51_4	10		0	1	
105201	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv52_1	10		0	1	
105202	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv52_2	10		0	1	
105203	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv52_3	10		0	1	
105204	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv52_4	10		0	1	
105301	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv53_1	10		0	1	
105302	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv53_2	10		0	1	
105303	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv53_3	10		0	1	
105304	1	ReHP_Ins&Con	SERVER_ReHP_Ins&Con_Modifier_lv53_4	10		0	1	
110101	2	Atk_Team	SERVER_Atk_Team_Modifier_lv1_1	11	300	0	1	
110102	2	Atk_Team	SERVER_Atk_Team_Modifier_lv1_2	11	300	0	1	
110103	2	Atk_Team	SERVER_Atk_Team_Modifier_lv1_3	11	300	0	1	
110104	2	Atk_Team	SERVER_Atk_Team_Modifier_lv1_4	11	300	0	1	
110201	2	Atk_Team	SERVER_Atk_Team_Modifier_lv2_1	11	300	0	1	
110202	2	Atk_Team	SERVER_Atk_Team_Modifier_lv2_2	11	300	0	1	
110203	2	Atk_Team	SERVER_Atk_Team_Modifier_lv2_3	11	300	0	1	
110204	2	Atk_Team	SERVER_Atk_Team_Modifier_lv2_4	11	300	0	1	
110301	2	Atk_Team	SERVER_Atk_Team_Modifier_lv3_1	11	300	0	1	
110302	2	Atk_Team	SERVER_Atk_Team_Modifier_lv3_2	11	300	0	1	
110303	2	Atk_Team	SERVER_Atk_Team_Modifier_lv3_3	11	300	0	1	
110304	2	Atk_Team	SERVER_Atk_Team_Modifier_lv3_4	11	300	0	1	
110401	2	Atk_Team	SERVER_Atk_Team_Modifier_lv4_1	11	300	0	1	
110402	2	Atk_Team	SERVER_Atk_Team_Modifier_lv4_2	11	300	0	1	
110403	2	Atk_Team	SERVER_Atk_Team_Modifier_lv4_3	11	300	0	1	
110404	2	Atk_Team	SERVER_Atk_Team_Modifier_lv4_4	11	300	0	1	
110501	2	Atk_Team	SERVER_Atk_Team_Modifier_lv5_1	11	300	0	1	
110502	2	Atk_Team	SERVER_Atk_Team_Modifier_lv5_2	11	300	0	1	
110503	2	Atk_Team	SERVER_Atk_Team_Modifier_lv5_3	11	300	0	1	
110504	2	Atk_Team	SERVER_Atk_Team_Modifier_lv5_4	11	300	0	1	
120101	2	Def_Team	SERVER_Def_Team_Modifier_lv1_1	12	300	0	1	
120102	2	Def_Team	SERVER_Def_Team_Modifier_lv1_2	12	300	0	1	
120103	2	Def_Team	SERVER_Def_Team_Modifier_lv1_3	12	300	0	1	
120104	2	Def_Team	SERVER_Def_Team_Modifier_lv1_4	12	300	0	1	
120201	2	Def_Team	SERVER_Def_Team_Modifier_lv2_1	12	300	0	1	
120202	2	Def_Team	SERVER_Def_Team_Modifier_lv2_2	12	300	0	1	
120203	2	Def_Team	SERVER_Def_Team_Modifier_lv2_3	12	300	0	1	
120204	2	Def_Team	SERVER_Def_Team_Modifier_lv2_4	12	300	0	1	
120301	2	Def_Team	SERVER_Def_Team_Modifier_lv3_1	12	300	0	1	
120302	2	Def_Team	SERVER_Def_Team_Modifier_lv3_2	12	300	0	1	
120303	2	Def_Team	SERVER_Def_Team_Modifier_lv3_3	12	300	0	1	
120304	2	Def_Team	SERVER_Def_Team_Modifier_lv3_4	12	300	0	1	
120401	2	Def_Team	SERVER_Def_Team_Modifier_lv4_1	12	300	0	1	
120402	2	Def_Team	SERVER_Def_Team_Modifier_lv4_2	12	300	0	1	
120403	2	Def_Team	SERVER_Def_Team_Modifier_lv4_3	12	300	0	1	
120404	2	Def_Team	SERVER_Def_Team_Modifier_lv4_4	12	300	0	1	
120501	2	Def_Team	SERVER_Def_Team_Modifier_lv5_1	12	300	0	1	
120502	2	Def_Team	SERVER_Def_Team_Modifier_lv5_2	12	300	0	1	
120503	2	Def_Team	SERVER_Def_Team_Modifier_lv5_3	12	300	0	1	
120504	2	Def_Team	SERVER_Def_Team_Modifier_lv5_4	12	300	0	1	
180201	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv2_1	12	300	0	1	
180202	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv2_2	12	300	0	1	
180203	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv2_3	12	300	0	1	
180204	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv2_4	12	300	0	1	
180301	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv3_1	12	300	0	1	
180302	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv3_2	12	300	0	1	
180303	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv3_3	12	300	0	1	
180304	2	Def_Team	SERVER_HealAdd_Team_Modifier_lv3_4	12	300	0	1	
190201	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv2_1	12	300	0	1	
190202	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv2_2	12	300	0	1	
190203	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv2_3	12	300	0	1	
190204	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv2_4	12	300	0	1	
190301	2	Def_Team	SERVER_MaxHp_Team_Modifier_lv3_1	12	300	0	1	
