索引ID	AbilityGroupName
1	Activity_Potion_SwirlIncreaseTeamAtk
2	Activity_Potion_DamageUp_SubHurtDown
3	Activity_Potion_ElementalBurstDamageUp
4	Activity_Potion_ElemMasteryDeltaUp
5	Activity_Potion_Explode_Superconductor_Shock_IncreaseDmg
6	Activity_Potion_Purple_After_Steam_Melt
7	Activity_Potion_AttackFrozenEnemy_IncreaseDamage
8	Activity_Potion_AllElementalDmgUp_AfterNormalAttack
9	Activity_Potion_SkillCDMinusRatioUp_AfterSkill
10	Activity_Potion_ExtraAttackAtkUpAfterUseUltimateSkill
11	Activity_Potion_ThumDamageUp
12	Activity_Potion_NormalAttackUp
13	Activity_Potion_ElemnentalArt_GenerateBall
14	Activity_Potion_ThumpCostReduce
15	Activity_Potion_DashStaminaReduce
16	Activity_Potion_DefenceUp_Team
17	Activity_Potion_HealAttackUp
18	Activity_Potion_HightHP_IncreaseDamage
19	Activity_Potion_ATKSpeedUp_AfterDash
20	Activity_Potion_ContinuousNormalAtk_HealEffectUp
21	Activity_Potion_AtkUp_OnAvatarIn
22	Activity_Potion_UltimateSkill_UltimateSkillDamageUp
23	Activity_Potion_HitTheTarget_GenerateBall_AfterUltimateSkill
24	Activity_Potion_LowEnergy_ChargeEfficiencyUp
25	Activity_Potion_ElementalDamageUp_AfterSkill
26	Activity_Potion_AtkSpeedUp_MoveSpeedUp_OnKillEnemies
27	Activity_Potion_AddAtkUpLevelOnStage_SubAtkLevelOffStage
28	Activity_Potion_RecoverEnergy_HitDamage
