插槽ID	可选部件ID	是否不可空	默认部件ID	通行证部件ID	初始部件ID
1000	373701,373702,373703	1	373701,373702,373703		373702
1	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
2	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
3	373801,373802,373803,373804,373805,373806,373807,373808,373809,373810,373811,373812,373813,373814,373815,373816,373817,373818,373819,373820,373821				
11	374005,374006,374007,374008				
12	374009,374010,374011,374012				
13	374013,374014,374015,374016				
14	374017,374018,374019,374020				
15	374021,374022,374023,374024				
16	374025,374026,374027,374028				
21	10001,10002,10003,10004			10001,10002,10003,10004	
22	10005,10006,10007,10008			10005,10006,10007,10008	
23	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
24	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
25	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
26	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
27	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
28	10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044			10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044	
1001	10051,10052,10053,10054,10055,10056,10057,10058,10059,10060,10061,10062			10051,10052,10053,10054,10055,10056,10057,10058,10059,10060,10061,10062	
31	10063,10064,10065,10066,10067,10068,10069,10070,10071,10072,10073,10074			10063,10064,10065,10066,10067,10068,10069,10070,10071,10072,10073,10074	
32	10079,10080,10081,10082,10083			10079,10080,10081,10082,10083	
33	10084,10085,10086			10084,10085,10086	
34	10075,10076,10077,10078			10075,10076,10077,10078	
41	10092,10093,10094	1	10092	10092,10093,10094	10092
42	10098,10099,10100			10098,10099,10100	
43	10101,10102,10103			10101,10102,10103	
44	10104,10105,10106			10104,10105,10106	
45	10095,10096,10097			10095,10096,10097	
