等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
1	22	2	1	32	2	1	21	2	1	31	2	1
2	22	2	1.083	32	2	1.083	21	2	1.083	31	2	1.083
3	22	2	1.165	32	2	1.165	21	2	1.166	31	2	1.166
4	22	2	1.248	32	2	1.248	21	2	1.25	31	2	1.25
5	22	2	1.33	32	2	1.33	21	2	1.333	31	2	1.333
6	22	2	1.413	32	2	1.413	21	2	1.417	31	2	1.417
7	22	2	1.495	32	2	1.495	21	2	1.5	31	2	1.5
8	22	2	1.578	32	2	1.578	21	2	1.584	31	2	1.584
9	22	2	1.661	32	2	1.661	21	2	1.668	31	2	1.668
10	22	2	1.743	32	2	1.743	21	2	1.751	31	2	1.751
11	22	2	1.826	32	2	1.826	21	2	1.835	31	2	1.835
12	22	2	1.908	32	2	1.908	21	2	1.919	31	2	1.919
13	22	2	1.991	32	2	1.991	21	2	2.003	31	2	2.003
14	22	2	2.073	32	2	2.073	21	2	2.088	31	2	2.088
15	22	2	2.156	32	2	2.156	21	2	2.172	31	2	2.172
16	22	2	2.239	32	2	2.239	21	2	2.256	31	2	2.256
17	22	2	2.321	32	2	2.321	21	2	2.341	31	2	2.341
18	22	2	2.404	32	2	2.404	21	2	2.425	31	2	2.425
19	22	2	2.486	32	2	2.486	21	2	2.51	31	2	2.51
20	22	2	2.569	32	2	2.569	21	2	2.594	31	2	2.594
21	22	2	2.651	32	2	2.651	21	2	2.679	31	2	2.679
22	22	2	2.734	32	2	2.734	21	2	2.764	31	2	2.764
23	22	2	2.817	32	2	2.817	21	2	2.849	31	2	2.849
24	22	2	2.899	32	2	2.899	21	2	2.934	31	2	2.934
25	22	2	2.982	32	2	2.982	21	2	3.019	31	2	3.019
26	22	2	3.064	32	2	3.064	21	2	3.105	31	2	3.105
27	22	2	3.147	32	2	3.147	21	2	3.19	31	2	3.19
28	22	2	3.229	32	2	3.229	21	2	3.275	31	2	3.275
29	22	2	3.312	32	2	3.312	21	2	3.361	31	2	3.361
30	22	2	3.394	32	2	3.394	21	2	3.446	31	2	3.446
31	22	2	3.477	32	2	3.477	21	2	3.532	31	2	3.532
32	22	2	3.56	32	2	3.56	21	2	3.618	31	2	3.618
