ID	1.4版本前登场的子任务	AvatarID
2	200701	10000002
3	35802,48606	10000003
4	35802	10000006
14	39602,1104004	10000014
15	35723,46101	10000015
16	37605	10000016
20	45104	10000020
21	35401,45201	10000021
22	37201	10000022
23	1100003	10000023
24	200004	10000024
25	1200003	10000025
26	100302,1110202	10000026
27	100008	10000027
29	1020009	10000029
30	101008	10000030
31	4111101	10000031
32	1904101	10000032
33	100013	10000033
34	1906102	10000034
35	101513	10000035
36	1902101	10000036
37	101609	10000037
38	1104106	10000038
39	1910102	10000039
41	1050007,4111212	10000041
42	102006	10000042
43	1104002	10000043
44		10000044
45	1104004	10000045
46	1111003	10000046
47	200004	10000047
48	1100801	10000048
49	200702	10000049
51	1012008	10000051
50	201107	10000050
52	200801	10000052
53	201702	10000053
54	200908	10000054
55	200903	10000055
56	200706	10000056
57	1202502	10000057
58	200607	10000058
59		10000059
60		10000060
63	200607	10000063
64		10000064
65		10000065
66	1203304	10000066
67		10000067
68		10000068
69		10000069
70		10000070
73		10000073
71		10000071
72		10000072
80		10000080
74		10000074
