ID,类型,子类型,是否忽略navmesh,开启空间寻路,NavmeshMode,LevelEntityConfig,entity排序,指定角色列表,指定角色上限,是否检查关卡产出配置,保底拉回ScenePoint,联机模式,是否支持自定义地图标记,是否删除自定义地图标记,地城场景入口点,工具用地城类型,是否废弃blockbin,是否废弃SceneBin,关联场景ID
1001,2,,,,,,,,,0,,,,,,,,,
1002,1,,,,,,,,,0,,,,,,,,,
1003,1,,,,,,,,,0,,,,,,,,,
1004,3,,1,,,,,,,0,,,,,,,,,
1005,3,,,,,Level_Sneak,,10000005#10000007,1,0,,,,,,,,,
1006,2,,,,,,,,,1,,,,,,,,,
1008,3,,,,,,,,,0,,,,,,,,,
1009,3,,,,,,,,,0,,,,,,,,,
1011,2,,,,,,,,,0,,,,,,,,,
1013,3,,,,,Level_Sneak,,10000005#10000007,1,0,,,,,,,,,
1015,2,,,,,Level_Sneak,,10000005#10000007,1,1,,,,,,,,,
1016,2,,,,,,,,,1,,,,,,,,,
1017,2,,,,,,,,,1,,,,,,,,,
1018,3,,,,,,,,,0,,,,,,,,,
1019,2,,,,,Level_Dungeon,,,,0,,,,,,,,,
1023,3,,,,,,,,,0,,,,,,,,,
1024,2,,,,,,,,,1,,,,,,,,,
1030,1,,,,,Level_Sneak,,,1,0,,,,,,,,,
1031,2,,,,,,,,,1,,,,,,,,,
1032,2,,,,,LevelEntity_Quest_XiaoDungeon,,,,1,,,,,,,,,
1033,3,,,,,,,,,0,,,,,,,,,
1034,3,,,,,,,,,0,,,,,,,,,
1035,3,,,,,,,,,0,,,,,,,,,
1050,2,,,,,,,,,0,,,,,,,,,
1051,2,,,,,,,,,1,,,,,,,,,
1052,2,,,,,,,,,1,,,,,,,,,
1053,2,,,,,,,,,1,,,,,,,,,
1054,2,,,,,,,,,1,,,,,,,,,
1055,2,,,,,,,,,1,,,,,,,,,
1056,2,,,,,,,,,1,,,,,,,,,
1057,3,,1,,,,,,,0,,,,,,,,,
1058,2,,,,,,,,,1,,,,,,,,,
1059,2,,,,,,,,,1,,,,,,,,,
1060,3,,1,,,,,,,0,,,,,,,,,
1061,3,,1,,,,,,,0,,,,,,,,,
1062,2,,,,,,,,,1,,,,,,,,,
1063,3,,1,,,,,,,0,,,,,,,,,
1064,3,,1,,,,,,,1,,,,,,,,,
1065,2,,,,,,,,,1,,,,,,,,,
1066,3,,1,,,,,,,,,,,,,,,,
1068,3,,,,,Level_Bartender_Room,,10000005#10000007,1,1,,1,,,,,,,
1069,3,,,,,,,,,0,,,,,,,,,
1070,2,,,,,,,,,1,,,,,,,,,
1071,2,,,,,,,,,,,,,,,,,,
1072,3,,1,,,,,,,0,,,,,,,,,
1073,3,,1,,,,,,,0,,,,,,,,,
1074,3,,1,,,,,,,0,,,,,,,,,
1075,3,,1,,,,,,,0,,,,,,,,,
1077,3,,1,,,,,,,,,,,,,,,,
1078,3,,1,,,,,,,,,,,,,,,,
2001,4,,,,,,,,,1,,,,,,,,,
2002,4,,,,,,,,,1,,,,,,,,,
2003,4,,,,,,,,,1,,,,,,,,,
2004,4,,,,,,,,,1,,,,,,,,,
2005,4,,,,,,,,,1,,,,,,,,,
2201,5,,,,,,,,,1,,,,,,,,,
2202,5,,,,,,,,,1,,,,,,,,,
2203,5,,,,,,,,,1,,,,,,,,,
