难度编号	挑战编号	初始分数	怪物难度	怪物等级	积分倍率	完成挑战ID
1	1	150	1	29	1	1
2	1	150	2	49	2	1
3	1	150	3	69	3	1
4	1	150	4	89	5	1
5	2	150	1	29	1	1
6	2	150	2	49	2	1
7	2	150	3	69	3	1
8	2	150	4	89	5	1
9	3	150	1	29	1	1
10	3	150	2	49	2	1
11	3	150	3	69	3	1
12	3	150	4	89	5	1
13	4	150	1	29	1	1
14	4	150	2	49	2	1
15	4	150	3	69	3	1
16	4	150	4	89	5	1
17	5	150	1	29	1	1
18	5	150	2	49	2	1
19	5	150	3	69	3	1
20	5	150	4	89	5	1
21	6	150	1	29	1	1
22	6	150	2	49	2	1
23	6	150	3	69	3	1
24	6	150	4	89	5	1
25	7	150	1	29	1	1
26	7	150	2	49	2	1
27	7	150	3	69	3	1
28	7	150	4	89	5	1
