规则ID,区服列表,UID尾号,开始时间,结束时间,冒险等级范围,大世界ID,地城ID,怪物ID
2,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,29020101
3,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,29020102
4,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,20040101#20040201#20040301#20040501
5,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,26020101#26020201
6,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,26050101#26050201#26050301#26050401
7,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,40#60,,105#106#112#113#116#117#120#121#124#125#129#130#133#134#137#138#2024#2025#5017#4403#4343#5203#5128#4373#4433#5053#3407#3507#3607#3408#3508#3608#3101#3201#3301#3102#3202#3302#3103#3203#3303#3104#3204#3304#4048#4049#4050#4051#4052#4053#4054#4055#8101#8102#8103#8104#8105#8106#8107#8108#8109#8110,-1
8,cb2plus_battle02,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24010101
9,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,25090101
10,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,20040601
11,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24021101
12,cb2plus_battle02,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24010301#25100101#25100201#26040101#26040102#26040103#26040104#29060102#29050103#29050104#20040401#20070101#26050101#26050201#26050301#26050401#24020101#24020201#24020301#24020401#22040101#22040201#22050101#22050201
13,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,20040401
14,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,20070101
15,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,22060101
16,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,26010103#28020901#28020902
17,cb2plus_battle02,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2077-01-01 04:00:00,1#60,,-1,-1
18,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,5,,26050701#26050801
19,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,6,,24010401
20,cb2plus_battle03,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24010101
21,cb2plus_battle03,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24010301#25100101#25100201#26040101#26040102#26040103#26040104#29060102#29050103#29050104#20040401#20070101#26050101#26050201#26050301#26050401#24020101#24020201#24020301#24020401#22040101#22040201#22050101#22050201
22,cb2plus_battle03,0#1#2#3#4#5#6#7#8#9,2021-03-01 04:00:00,2077-01-01 04:00:00,1#60,,-1,-1
23,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,26020301#26110101
24,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,24030301#24050101
25,-1,0#2#7#9,2021-03-01 04:00:00,2088-01-01 04:00:00,1#60,3#4,,20040701
