ID,[虚拟骰子信息]1类型,[虚拟骰子信息]1初始数量,[虚拟骰子信息]1每回合增长,[虚拟骰子信息]1增长上限,[虚拟骰子信息]2类型,[虚拟骰子信息]2初始数量,[虚拟骰子信息]2每回合增长,[虚拟骰子信息]2增长上限,优先级修正：每指定费用,优先级修正：每相同费用,优先级修正：每任意费用,优先级修正：每充能费用,优先级修正：每已有行动意图,优先级修正：角色排序位置,优先级修正：每同阵营技能标签
100200,1,1,0,0,2,2,0,0,3,2,1,-1000,-1000,-100,-20
211100,1,2,1,1,2,1,0,0,3,2,1,-1000,-1000,-100,-20
4112221,1,4,1,1,2,2,2,2,3,2,5,3,-1000,-100,-20
6130221,1,6,1,3,2,0,2,2,3,2,1,3,-1000,-100,0
5152001,1,5,1,5,2,2,0,0,3,2,7,3,-1000,-100,-20
311200,1,3,1,1,2,2,0,0,3,2,1,3,-1000,-100,-20
313200,1,3,1,3,2,2,0,0,3,2,1,3,-1000,-100,-20
314200,1,3,1,4,2,2,0,0,3,2,1,3,-1000,-100,-20
324200,1,3,2,4,2,2,0,0,3,2,1,3,-1000,-100,-20
326200,1,3,2,6,2,2,0,0,3,2,1,3,-1000,-100,-20
400200,1,4,0,0,2,2,0,0,3,2,1,3,-1000,-100,-20
411200,1,4,1,1,2,2,0,0,3,2,1,3,-1000,-100,-20
411222,1,4,1,1,2,2,2,2,3,2,1,3,-1000,-100,-20
412200,1,4,1,2,2,2,0,0,3,2,1,3,-1000,-100,-20
412222,1,4,1,2,2,2,2,2,3,2,1,3,-1000,-100,-20
413200,1,4,1,3,2,2,0,0,3,2,1,3,-1000,-100,-20
413222,1,4,1,3,2,2,2,2,3,2,1,3,-1000,-100,-20
413400,1,4,1,3,2,4,0,0,3,2,1,3,-1000,-100,-20
414200,1,4,1,4,2,2,0,0,3,2,1,3,-1000,-100,-20
414212,1,4,1,4,2,2,1,2,3,2,1,3,-1000,-100,-20
422200,1,4,2,2,2,2,0,0,3,2,1,3,-1000,-100,-20
424200,1,4,2,4,2,2,0,0,3,2,1,3,-1000,-100,-20
424212,1,4,2,4,2,2,1,2,3,2,1,3,-1000,-100,-20
426200,1,4,2,6,2,2,0,0,3,2,1,3,-1000,-100,-20
436200,1,4,3,6,2,2,0,0,3,2,1,3,-1000,-100,-20
512200,1,5,1,2,2,2,0,0,3,2,1,3,-1000,-100,-20
514200,1,5,1,4,2,2,0,0,3,2,1,3,-1000,-100,-20
515200,1,5,1,5,2,2,0,0,3,2,1,3,-1000,-100,-20
513300,1,5,1,3,2,3,0,0,3,2,1,3,-1000,-100,-20
514300,1,5,1,4,2,3,0,0,3,2,1,3,-1000,-100,-20
612400,1,6,1,2,2,4,0,0,3,2,1,3,-1000,-100,-20
613000,1,6,1,3,2,0,0,0,3,2,1,3,-1000,-100,-20
613022,1,6,1,3,2,0,2,2,3,2,1,3,-1000,-100,-20
614200,1,6,1,4,2,2,0,0,3,2,1,3,-1000,-100,-20
