流水id,dungeon_id,怪物难度,pool_id随机库
1,3017,0,23001#23002#23003#23004#23005#23006#23007#23013
2,3017,1,23008#23009#23010#23011#23012#23014
3,3017,2,23015#23016#23017#23018#23019#23020#23022
4,3018,0,24009#24021#24019#24010#24011#24013#24020#24018#24002#24022#24028#24028
5,3018,1,24012#24014#24024#24008#24003#24023#24024#24025#24026#24027
6,3018,2,24016#24004#24006#24015#24005#24017
7,3020,0,19001#19002#19003#19004#19005#19006#19007#19008#19009#19010#19011#19012#19013#19014#19015
8,3020,1,19016#19017#19018#19019#19020#19021#19022#19023
9,3020,2,19024#19025#19026#19027#19028#19029#19030#19032
10,3021,0,24009#24021#24019#24010#24011#24013#24020#24018#24002#24022#24028#24028
11,3021,1,24012#24014#24024#24008#24003#24023#24024#24025#24026#24027
12,3021,2,24004#24016#24015#24007#24007
13,3022,0,25002#25003#25004#25005#25006#25007#25008#25009#25010#25011
14,3022,1,25012#25013#25014#25015#25016#25017#25018#25019
15,3022,2,25020#25021#25022#25023#25024#25025#25026#25027
16,3019,0,27002#27003#27004#27005#27006#27007#27008#27009#27010
17,3019,1,27011#27012#27013#27014#27015#27016#27017
18,3019,2,27018#27019#27020#27021#27022#27023#27024
19,3023,0,28001#28002#28003#28004#28005#28006#28007#28008#28009#28010#28011#28012#28013#28014#28015#28016
20,3023,1,28017#28018#28019#28020#28021#28022#28023#28024#28025#28026
21,3023,2,28027#28028#28029#28030#28031#28032#28033#28034#28035#28036
22,3024,0,29001#29002#29003#29004#29005#29006#29007#29008#29009#29010#29011#29012#29013#29014#29015#29016
23,3024,1,29017#29018#29019#29020#29021#29022#29023#29024#29025#29026#29027#29028
24,3024,2,29029#29030#29031#29032#29033#29034#29035#29036#29037#29038#29039#29040
25,3025,0,28001#28002#28003#28004#28005#28006#28007#28008#28009#28010#28011#28012#28013#28014#28015#28016
26,3025,1,28040#28041#28042#28043#28044#28045#28046#28047#28048#28049#28063
27,3025,2,28050#28051#28052#28053#28054#28055#28056#28057#28058#28059#28061#28062#28064
28,3026,0,29001#29002#29003#29004#29005#29006#29007#29008#29009#29010#29011#29012#29013#29014#29015#29016
29,3026,1,29047#29048#29050#29051#29052#29053#29054#29055#29057#29058#29059#29060#29061#29062#29063#29064#29065#29066#29067#29068#29069#29070
30,3026,2,29043#29044#29045#29046#29049#29056#29071#29072#29073#29074#29075#29076#29077#29078#29079#29080#29081#29082
