ID	对话ID	错误提示	是否重复	交付方式	[精确]道具1ID	[精确]道具1数量	[精确]道具2ID	[精确]道具2数量	[精确]道具3ID	[精确]道具3数量	精准交付完台词	组交付ID	组交付数量	是否删除道具	是否重置	是否允许联机交付	交付类型	是否可取回
10000101			1	2								7900101	1	1			2	1
10000102			1	2								7900101	1	1			2	1
10000103			1	2								7900101	1	1			2	1
10000104			1	2								7900101	1	1			2	1
10000105			1	2								7900101	1	1			2	1
10000106			1	2								7900101	1	1			2	1
10000107			1	2								7900101	1	1			2	1
10000108			1	2								7900101	1	1			2	1
10000109			1	2								7900101	1	1			2	1
10000110			1	2								7900101	1	1			2	1
10000111			1	2								7900101	1	1			2	1
10000112			1	1	101834	1								1			2	0
10000113			1	2								7902401	1	1			2	1
10000114			1	2								7902401	1	1			2	1
10000115			1	2								7902401	1	1			2	1
10000116			1	2								7902407	3	1			2	0
