ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	MpPlayId	优先级	存档记录
2010101	101				1	1	1		
2010102	426				1		1	99	
2010103	427				1		1	99	
2010104	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568			5		1	9	
2010105	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568			10		1	20	
2010106	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568			15		1	40	
2010107	428	0			10		1	8	
2010108	428	0			15		1	19	
2010109	428	0			20		1	30	
2010110	423				10000		1	10	
2010111	423				20000		1	50	
2010112	423				30000		1	100	
2010113	428	1			10		1	31	
2010114	428	2			10		1	31	
2010115	428	3			10		1	31	
2010116	428	4			10		1	31	
2010117	428	5			10		1	31	
2010118	428	7			10		1	31	
2010119	428	8			10		1	31	
3010101	422	133002418			1		3		1
3010102	422	133002418			5		3		1
3010103	422	133002418			10		3		1
3010104	430	AVATAR_ICESHIELD_KILL_COUNT	1	4	1		3		1
3010105	430	AVATAR_ICESHIELD_KILL_COUNT	2	4	1		3		1
3010106	430	AVATAR_ICESHIELD_KILL_COUNT	3	4	1		3		1
3010107	430	AVATAR_SPECIALICE_KILL_COUNT	1	4	1		3		1
3010108	430	AVATAR_SPECIALICE_KILL_COUNT	2	4	1		3		1
3010109	430	AVATAR_SPECIALICE_KILL_COUNT	3	4	1		3		1
3010110	430	AVATAR_OREDULINSBLOOD_PICK_COUNT	5	4	1		3		1
3010111	430	AVATAR_OREDULINSBLOOD_PICK_COUNT	10	4	1		3		1
3010112	430	AVATAR_OREDULINSBLOOD_PICK_COUNT	15	4	1		3		1
3010113	431	133002418	418001		1		3		1
3010114	430	AVATAR_ICESHIELD_KILL_COUNT	0	1	1		3		1
3010115	430	AVATAR_SPECIALICE_KILL_COUNT	0	1	1		3		1
3010116	1	Watcher_SnowMountain_3010116	Watcher_SnowMountain_MPPlay		1		3		1
2040401	430	ACT_OCEANID_Use_Lift	1	4	1		4		1
2040402	430	ACT_OCEANID_Use_Lift	0	1	1		4		1
2040403	430	ACT_OCEANID_Endure_Boss_EX_Skill	1	4	1		4		1
2040404	430	ACT_OCEANID_Summon_In_Advance	1	4	1		4		1
2040405	430	ACT_OCEANID_FallingAttack_Crab	1	4	1		4		1
2040406	431	133102112	112011		1		4		1
2040407	430	ACT_OCEANID_Endure_Boss_EX_Skill	2	4	1		4		1
2040408	430	ACT_OCEANID_Endure_Boss_EX_Skill	3	4	1		4		1
