最小等级,总索引,掉落ID,掉落次数
1,史莱姆,300000000,1
5,史莱姆,300000100,1
10,史莱姆,300000200,1
15,史莱姆,300000300,1
20,史莱姆,300000400,1
25,史莱姆,300000500,1
30,史莱姆,300000600,1
35,史莱姆,300000700,1
40,史莱姆,300000800,1
45,史莱姆,300000900,1
50,史莱姆,300001000,1
55,史莱姆,300001100,1
60,史莱姆,300001200,1
65,史莱姆,300001300,1
70,史莱姆,300001400,1
75,史莱姆,300001500,1
80,史莱姆,300001600,1
85,史莱姆,300001700,1
90,史莱姆,300001800,1
93,史莱姆,300001900,1
100,史莱姆,300002000,1
105,史莱姆,300002100,1
110,史莱姆,300002200,1
115,史莱姆,300002300,1
120,史莱姆,300002400,1
1,大史莱姆,301000000,1
5,大史莱姆,301000100,1
10,大史莱姆,301000200,1
15,大史莱姆,301000300,1
20,大史莱姆,301000400,1
25,大史莱姆,301000500,1
30,大史莱姆,301000600,1
35,大史莱姆,301000700,1
40,大史莱姆,301000800,1
45,大史莱姆,301000900,1
50,大史莱姆,301001000,1
55,大史莱姆,301001100,1
60,大史莱姆,301001200,1
65,大史莱姆,301001300,1
70,大史莱姆,301001400,1
75,大史莱姆,301001500,1
80,大史莱姆,301001600,1
85,大史莱姆,301001700,1
90,大史莱姆,301001800,1
93,大史莱姆,301001900,1
100,大史莱姆,301002000,1
105,大史莱姆,301002100,1
110,大史莱姆,301002200,1
115,大史莱姆,301002300,1
120,大史莱姆,301002400,1
1,雷萤,302000000,1
5,雷萤,302000100,1
10,雷萤,302000200,1
15,雷萤,302000300,1
20,雷萤,302000400,1
25,雷萤,302000500,1
30,雷萤,302000600,1
35,雷萤,302000700,1
40,雷萤,302000800,1
45,雷萤,302000900,1
50,雷萤,302001000,1
55,雷萤,302001100,1
60,雷萤,302001200,1
65,雷萤,302001300,1
70,雷萤,302001400,1
75,雷萤,302001500,1
80,雷萤,302001600,1
85,雷萤,302001700,1
90,雷萤,302001800,1
93,雷萤,302001900,1
100,雷萤,302002000,1
105,雷萤,302002100,1
110,雷萤,302002200,1
115,雷萤,302002300,1
120,雷萤,302002400,1
1,盗宝团,303000000,1
5,盗宝团,303000100,1
10,盗宝团,303000200,1
15,盗宝团,303000300,1
20,盗宝团,303000400,1
25,盗宝团,303000500,1
30,盗宝团,303000600,1
35,盗宝团,303000700,1
40,盗宝团,303000800,1
45,盗宝团,303000900,1
50,盗宝团,303001000,1
55,盗宝团,303001100,1
60,盗宝团,303001200,1
65,盗宝团,303001300,1
70,盗宝团,303001400,1
75,盗宝团,303001500,1
80,盗宝团,303001600,1
85,盗宝团,303001700,1
90,盗宝团,303001800,1
93,盗宝团,303001900,1
100,盗宝团,303002000,1
105,盗宝团,303002100,1
110,盗宝团,303002200,1
115,盗宝团,303002300,1
120,盗宝团,303002400,1
1,丘丘人,304000000,1
5,丘丘人,304000100,1
10,丘丘人,304000200,1
15,丘丘人,304000300,1
20,丘丘人,304000400,1
25,丘丘人,304000500,1
30,丘丘人,304000600,1
35,丘丘人,304000700,1
40,丘丘人,304000800,1
45,丘丘人,304000900,1
50,丘丘人,304001000,1
55,丘丘人,304001100,1
60,丘丘人,304001200,1
65,丘丘人,304001300,1
70,丘丘人,304001400,1
75,丘丘人,304001500,1
80,丘丘人,304001600,1
85,丘丘人,304001700,1
90,丘丘人,304001800,1
93,丘丘人,304001900,1
100,丘丘人,304002000,1
105,丘丘人,304002100,1
110,丘丘人,304002200,1
115,丘丘人,304002300,1
120,丘丘人,304002400,1
1,远程丘丘人,305000000,1
5,远程丘丘人,305000100,1
10,远程丘丘人,305000200,1
15,远程丘丘人,305000300,1
20,远程丘丘人,305000400,1
25,远程丘丘人,305000500,1
30,远程丘丘人,305000600,1
35,远程丘丘人,305000700,1
40,远程丘丘人,305000800,1
45,远程丘丘人,305000900,1
50,远程丘丘人,305001000,1
55,远程丘丘人,305001100,1
60,远程丘丘人,305001200,1
65,远程丘丘人,305001300,1
70,远程丘丘人,305001400,1
75,远程丘丘人,305001500,1
80,远程丘丘人,305001600,1
85,远程丘丘人,305001700,1
90,远程丘丘人,305001800,1
93,远程丘丘人,305001900,1
100,远程丘丘人,305002000,1
105,远程丘丘人,305002100,1
110,远程丘丘人,305002200,1
115,远程丘丘人,305002300,1
120,远程丘丘人,305002400,1
1,丘丘萨满,306000000,1
5,丘丘萨满,306000100,1
10,丘丘萨满,306000200,1
15,丘丘萨满,306000300,1
20,丘丘萨满,306000400,1
25,丘丘萨满,306000500,1
30,丘丘萨满,306000600,1
35,丘丘萨满,306000700,1
40,丘丘萨满,306000800,1
45,丘丘萨满,306000900,1
50,丘丘萨满,306001000,1
55,丘丘萨满,306001100,1
60,丘丘萨满,306001200,1
65,丘丘萨满,306001300,1
70,丘丘萨满,306001400,1
75,丘丘萨满,306001500,1
80,丘丘萨满,306001600,1
85,丘丘萨满,306001700,1
90,丘丘萨满,306001800,1
93,丘丘萨满,306001900,1
100,丘丘萨满,306002000,1
105,丘丘萨满,306002100,1
110,丘丘萨满,306002200,1
115,丘丘萨满,306002300,1
120,丘丘萨满,306002400,1
1,先遣队,307000000,1
5,先遣队,307000100,1
10,先遣队,307000200,1
15,先遣队,307000300,1
20,先遣队,307000400,1
25,先遣队,307000500,1
30,先遣队,307000600,1
35,先遣队,307000700,1
40,先遣队,307000800,1
45,先遣队,307000900,1
50,先遣队,307001000,1
55,先遣队,307001100,1
60,先遣队,307001200,1
65,先遣队,307001300,1
70,先遣队,307001400,1
75,先遣队,307001500,1
80,先遣队,307001600,1
85,先遣队,307001700,1
90,先遣队,307001800,1
93,先遣队,307001900,1
100,先遣队,307002000,1
105,先遣队,307002100,1
110,先遣队,307002200,1
115,先遣队,307002300,1
120,先遣队,307002400,1
1,骗骗花,308000000,1
5,骗骗花,308000100,1
10,骗骗花,308000200,1
15,骗骗花,308000300,1
20,骗骗花,308000400,1
25,骗骗花,308000500,1
30,骗骗花,308000600,1
35,骗骗花,308000700,1
40,骗骗花,308000800,1
45,骗骗花,308000900,1
50,骗骗花,308001000,1
55,骗骗花,308001100,1
60,骗骗花,308001200,1
65,骗骗花,308001300,1
70,骗骗花,308001400,1
75,骗骗花,308001500,1
80,骗骗花,308001600,1
85,骗骗花,308001700,1
90,骗骗花,308001800,1
93,骗骗花,308001900,1
100,骗骗花,308002000,1
105,骗骗花,308002100,1
110,骗骗花,308002200,1
115,骗骗花,308002300,1
120,骗骗花,308002400,1
1,浪人武士,309000000,1
5,浪人武士,309000100,1
10,浪人武士,309000200,1
15,浪人武士,309000300,1
20,浪人武士,309000400,1
25,浪人武士,309000500,1
30,浪人武士,309000600,1
35,浪人武士,309000700,1
40,浪人武士,309000800,1
45,浪人武士,309000900,1
50,浪人武士,309001000,1
55,浪人武士,309001100,1
60,浪人武士,309001200,1
65,浪人武士,309001300,1
70,浪人武士,309001400,1
75,浪人武士,309001500,1
80,浪人武士,309001600,1
85,浪人武士,309001700,1
90,浪人武士,309001800,1
93,浪人武士,309001900,1
100,浪人武士,309002000,1
105,浪人武士,309002100,1
110,浪人武士,309002200,1
115,浪人武士,309002300,1
120,浪人武士,309002400,1
1,高阶武士,310000000,1
5,高阶武士,310000100,1
10,高阶武士,310000200,1
15,高阶武士,310000300,1
20,高阶武士,310000400,1
25,高阶武士,310000500,1
30,高阶武士,310000600,1
35,高阶武士,310000700,1
40,高阶武士,310000800,1
45,高阶武士,310000900,1
50,高阶武士,310001000,1
55,高阶武士,310001100,1
60,高阶武士,310001200,1
65,高阶武士,310001300,1
70,高阶武士,310001400,1
75,高阶武士,310001500,1
80,高阶武士,310001600,1
85,高阶武士,310001700,1
90,高阶武士,310001800,1
93,高阶武士,310001900,1
100,高阶武士,310002000,1
105,高阶武士,310002100,1
110,高阶武士,310002200,1
115,高阶武士,310002300,1
120,高阶武士,310002400,1
1,飘浮灵,311000000,1
5,飘浮灵,311000100,1
10,飘浮灵,311000200,1
15,飘浮灵,311000300,1
20,飘浮灵,311000400,1
25,飘浮灵,311000500,1
30,飘浮灵,311000600,1
35,飘浮灵,311000700,1
40,飘浮灵,311000800,1
45,飘浮灵,311000900,1
50,飘浮灵,311001000,1
55,飘浮灵,311001100,1
60,飘浮灵,311001200,1
65,飘浮灵,311001300,1
70,飘浮灵,311001400,1
75,飘浮灵,311001500,1
80,飘浮灵,311001600,1
85,飘浮灵,311001700,1
90,飘浮灵,311001800,1
93,飘浮灵,311001900,1
100,飘浮灵,311002000,1
105,飘浮灵,311002100,1
110,飘浮灵,311002200,1
115,飘浮灵,311002300,1
120,飘浮灵,311002400,1
1,蕈兽,312000000,1
5,蕈兽,312000100,1
10,蕈兽,312000200,1
15,蕈兽,312000300,1
20,蕈兽,312000400,1
25,蕈兽,312000500,1
30,蕈兽,312000600,1
35,蕈兽,312000700,1
40,蕈兽,312000800,1
45,蕈兽,312000900,1
50,蕈兽,312001000,1
55,蕈兽,312001100,1
60,蕈兽,312001200,1
65,蕈兽,312001300,1
70,蕈兽,312001400,1
75,蕈兽,312001500,1
80,蕈兽,312001600,1
85,蕈兽,312001700,1
90,蕈兽,312001800,1
93,蕈兽,312001900,1
100,蕈兽,312002000,1
105,蕈兽,312002100,1
110,蕈兽,312002200,1
115,蕈兽,312002300,1
120,蕈兽,312002400,1
1,大蕈兽,313000000,1
5,大蕈兽,313000100,1
10,大蕈兽,313000200,1
15,大蕈兽,313000300,1
20,大蕈兽,313000400,1
25,大蕈兽,313000500,1
30,大蕈兽,313000600,1
35,大蕈兽,313000700,1
40,大蕈兽,313000800,1
45,大蕈兽,313000900,1
50,大蕈兽,313001000,1
55,大蕈兽,313001100,1
60,大蕈兽,313001200,1
65,大蕈兽,313001300,1
70,大蕈兽,313001400,1
75,大蕈兽,313001500,1
80,大蕈兽,313001600,1
85,大蕈兽,313001700,1
90,大蕈兽,313001800,1
93,大蕈兽,313001900,1
100,大蕈兽,313002000,1
105,大蕈兽,313002100,1
110,大蕈兽,313002200,1
115,大蕈兽,313002300,1
120,大蕈兽,313002400,1
1,镀金旅团,314000000,1
5,镀金旅团,314000100,1
10,镀金旅团,314000200,1
15,镀金旅团,314000300,1
20,镀金旅团,314000400,1
25,镀金旅团,314000500,1
30,镀金旅团,314000600,1
35,镀金旅团,314000700,1
40,镀金旅团,314000800,1
45,镀金旅团,314000900,1
50,镀金旅团,314001000,1
55,镀金旅团,314001100,1
60,镀金旅团,314001200,1
65,镀金旅团,314001300,1
70,镀金旅团,314001400,1
75,镀金旅团,314001500,1
80,镀金旅团,314001600,1
85,镀金旅团,314001700,1
90,镀金旅团,314001800,1
93,镀金旅团,314001900,1
100,镀金旅团,314002000,1
105,镀金旅团,314002100,1
110,镀金旅团,314002200,1
115,镀金旅团,314002300,1
120,镀金旅团,314002400,1
1,中级镀金旅团,315000000,1
5,中级镀金旅团,315000100,1
10,中级镀金旅团,315000200,1
15,中级镀金旅团,315000300,1
20,中级镀金旅团,315000400,1
25,中级镀金旅团,315000500,1
30,中级镀金旅团,315000600,1
35,中级镀金旅团,315000700,1
40,中级镀金旅团,315000800,1
45,中级镀金旅团,315000900,1
50,中级镀金旅团,315001000,1
55,中级镀金旅团,315001100,1
60,中级镀金旅团,315001200,1
65,中级镀金旅团,315001300,1
70,中级镀金旅团,315001400,1
75,中级镀金旅团,315001500,1
80,中级镀金旅团,315001600,1
85,中级镀金旅团,315001700,1
90,中级镀金旅团,315001800,1
93,中级镀金旅团,315001900,1
100,中级镀金旅团,315002000,1
105,中级镀金旅团,315002100,1
110,中级镀金旅团,315002200,1
115,中级镀金旅团,315002300,1
120,中级镀金旅团,315002400,1
1,高级镀金旅团,316000000,1
5,高级镀金旅团,316000100,1
10,高级镀金旅团,316000200,1
15,高级镀金旅团,316000300,1
20,高级镀金旅团,316000400,1
25,高级镀金旅团,316000500,1
30,高级镀金旅团,316000600,1
35,高级镀金旅团,316000700,1
40,高级镀金旅团,316000800,1
45,高级镀金旅团,316000900,1
50,高级镀金旅团,316001000,1
55,高级镀金旅团,316001100,1
60,高级镀金旅团,316001200,1
65,高级镀金旅团,316001300,1
70,高级镀金旅团,316001400,1
75,高级镀金旅团,316001500,1
80,高级镀金旅团,316001600,1
85,高级镀金旅团,316001700,1
90,高级镀金旅团,316001800,1
93,高级镀金旅团,316001900,1
100,高级镀金旅团,316002000,1
105,高级镀金旅团,316002100,1
110,高级镀金旅团,316002200,1
115,高级镀金旅团,316002300,1
120,高级镀金旅团,316002400,1
1,驮兽丘丘人,317000000,1
