ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	所属调查ID	奖励ID
60001	105	2			1		10001	450101
60002	106				3		10001	450102
60003	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70211150;70211151			15		10001	450103
60004	108	1	2		1		10001	450104
60005	106				6		10002	450201
60006	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70211150;70211151			30		10002	450202
60007	108	1	4		1		10002	450203
60008	109	22010201	可联机		1		10002	450204
60009	401	1			5		10002	450205
60010	205	10			1		10002	450206
60011	208	4			1		10002	450207
60012	106				10		10003	450301
60013	105	3			1		10003	450302
60014	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70211150;70211151			45		10003	450303
60015	109	24010101	可联机		1		10003	450304
60016	402				1		10003	450305
60017	403				3		10003	450306
60018	203	20			1		10003	450307
60019	207	5	1	1	1		10003	450308
60020	105	4			1		10004	450401
60021	108	1	6		1		10004	450402
60022	207	5	1	1	6		10004	450403
60023	309	1;3			3		10004	450404
60024	303				1		10004	450405
60025	204	1			3		10004	450406
60026	205	20			1		10004	450407
60027	404				1		10004	450408
60028	109	23030101	可联机		1		10004	450409
60029	104	70360041;70360068;70900383;70360363			1		10004	450410
60030	105	7			1		10005	450501
60031	304	1	3		1		10005	450502
60032	210				10		10005	450503
60033	309	1;3			10		10005	450504
60034	307	4300;4301;4302;4303;4310;4311;4312;4313;4320;4321;4322;4323;4330;4331;4332;4333;5210;5211;5212;5213;5214;5215;5216;5217;5218;5219;5220;5221;5222;5223;5224;5225;4340;4341;4342;4343;4350;4351;4352;4353;4360;4361;4362;4363;4370;4371;4372;4373;4374;4375;4376;4377;4378;4379;4380;4381			3		10005	450505
60035	205	40			3		10005	450506
60036	203	40			3		10005	450507
60037	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70211150;70211151			100		10005	450508
60038	207	5		1	12		10005	450509
60039	109	24010201	可联机		1		10005	450510
60040	307	5000;5001;5002;5003;5004;5005;5006;5007;5008;5009;5010;5011;5012;5013;5014;5015;5016;5017;5100;5101;5102;5103;5104;5105;5106;5107;5108;5109;5110;5111;5112;5113;5114;5115;5120;5121;5122;5123;5200;5201;5202;5203;5204;5205;5206;5207;5125;5126;5127;5128;5050;5051;5052;5053			3		10006	450601
60041	304	2	3		1		10006	450602
60042	109	20040101	需单人		1		10006	450603
60043	109	20040201	需单人		1		10006	450604
60044	109	20040301	需单人		1		10006	450605
60045	206	2			3		10006	450606
60046	211	3			1		10006	450607
60047	206	3			1		10006	450608
60048	204	2			3		10006	450609
60049	207	9	1	1	8		10006	450610
60050	405	1002;1009;1057;1075			1		10006	450611
60051	104	70360041;70360068;70900383;70360363			5		10006	450612
60052	307	4200;4201;4202;4203;4210;4211;4212;4213;4220;4221;4222;4223;4230;4231;4232;4233;5250;5251;5252;5253;5254;5255;5256;5257;5258;5259;5260;5261;5262;5263;5264;5265;4400;4401;4402;4403;4410;4411;4412;4413;4420;4421;4422;4423;4430;4431;4432;4433;4440;4441;4442;4443;4450;4451;4452;4453			3		10007	450701
60053	209				3		10007	450702
60054	108	1	9		1		10007	450703
60055	306	1			10		10007	450704
60056	109	29020102	需单人		1		10007	450705
60057	304	4	3		1		10007	450706
60058	406	4			2		10007	450707
60059	107	70210001;70210002;70210003;70210004;70210005;70210006;70210011;70210012;70210013;70210014;70210021;70210022;70210023;70210024;70210031;70210032;70210033;70210034;70210041;70210042;70210043;70210044;70210051;70210052;70210053;70210054;70211001;70211002;70211011;70211012;70211021;70211022;70211031;70211032;70211101;70211102;70211103;70211104;70211111;70211112;70211121;70211122;70211123;70211131;70211132;70211150;70211151			300		10007	450708
60060	206	3			3		10007	450709
60061	204	3			3		10007	450710
60062	207	13	1	1	8		10007	450711
60063	203	60			3		10007	450712
60064	205	70			1		10007	450713
60065	108	2	9		1		10008	450801
60066	306	1			20		10008	450802
60067	307	2021			1		10008	450803
60068	304	5	3		1		10008	450804
60069	203	70			3		10008	450805
60070	211	4			2		10008	450806
60071	207	17	4	1	8		10008	450807
60072	205	70			3		10008	450808
60073	206	5			1		10008	450809
60074	204	5			1		10008	450810
60075	104	70360041;70360068;70900383;70360363			15		10008	450811
60076	502	305			300		10008	450812
60077	502	307			300		10008	450813
60078	307	2022			1		10009	450901
60079	104	70360041;70360068;70900383;70360363			18		10009	450902
60080	304	6	3		1		10009	450903
60081	204	5			3		10009	450904
60082	203	80			1		10009	450905
60083	211	5			2		10009	450906
60084	207	21	5	1	8		10009	450907
60085	206	5			3		10009	450908
60086	205	80			1		10009	450909
60087	502	305			500		10009	450910
60088	502	307			500		10009	450911
