ID	领取条件1类型	领取条件1参数1	领取条件1参数2	对应章节ID	奖励ID
10140101	6	101401	1	101401	4001411
10140102	6	101401	2	101401	4001412
10140103	6	101401	3	101401	4001413
10140104	6	101401	4	101401	4001414
10140105	6	101401	5	101401	4001415
10360101	6	103601	1	103601	4003611
10360102	6	103601	2	103601	4003612
10360103	6	103601	3	103601	4003613
10360104	6	103601	4	103601	4003614
10360105	6	103601	5	103601	4003615
10360106	6	103601	6	103601	4003616
10340101	6	103401	1	103401	4003411
10340102	6	103401	2	103401	4003412
10340103	6	103401	3	103401	4003413
10340104	6	103401	4	103401	4003414
10340105	6	103401	5	103401	4003415
10340106	6	103401	6	103401	4003416
10320101	6	103201	1	103201	4003211
10320102	6	103201	2	103201	4003212
10320103	6	103201	3	103201	4003213
10320104	6	103201	4	103201	4003214
10320105	6	103201	5	103201	4003215
10320106	6	103201	6	103201	4003216
10340201	6	103402	1	103402	4003421
10340202	6	103402	2	103402	4003422
10340203	6	103402	3	103402	4003423
10340204	6	103402	4	103402	4003424
10340205	6	103402	5	103402	4003425
10340206	6	103402	6	103402	4003426
10390101	6	103901	1	103901	4003911
10390102	6	103901	2	103901	4003912
10390103	6	103901	3	103901	4003913
10390104	6	103901	4	103901	4003914
10390105	6	103901	5	103901	4003915
10500101	6	105001	1	105001	4005011
10500102	6	105001	2	105001	4005012
10500103	6	105001	3	105001	4005013
10500104	6	105001	4	105001	4005014
10500105	6	105001	5	105001	4005015
10500106	6	105001	6	105001	4005016
10530101	6	105301	1	105301	4005311
10530102	6	105301	2	105301	4005312
10530103	6	105301	3	105301	4005313
10530104	6	105301	4	105301	4005314
10530105	6	105301	5	105301	4005315
10530106	6	105301	6	105301	4005316
10240101	6	102401	1	102401	4002411
10240102	6	102401	2	102401	4002412
10240103	6	102401	3	102401	4002413
10240104	6	102401	4	102401	4002414
10240105	6	102401	5	102401	4002415
10550101	6	105501	1	105501	4005511
10550102	6	105501	2	105501	4005512
10550103	6	105501	3	105501	4005513
10550104	6	105501	4	105501	4005514
10550105	6	105501	5	105501	4005515
10640101	6	106401	1	106401	4006411
10640102	6	106401	2	106401	4006412
10640103	6	106401	3	106401	4006413
10640104	6	106401	4	106401	4006414
10640105	6	106401	5	106401	4006415
10270101	6	102701	1	102701	4002711
10270102	6	102701	2	102701	4002712
10270103	6	102701	3	102701	4002713
10270104	6	102701	4	102701	4002714
10270105	6	102701	5	102701	4002715
10650101	6	106501	1	106501	4006511
10650102	6	106501	2	106501	4006512
10650103	6	106501	3	106501	4006513
10650104	6	106501	4	106501	4006514
10650105	6	106501	5	106501	4006515
10590101	6	105901	1	105901	4005911
10590102	6	105901	2	105901	4005912
10590103	6	105901	3	105901	4005913
10590104	6	105901	4	105901	4005914
10590105	6	105901	5	105901	4005915
