ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	进度	已废弃	所属调查ID	奖励ID
62000	232	1	1		1		30001	451001
62001	232	1	5		1		30001	451002
62002	232	1	4		1		30001	451003
62003	232	1	2		1		30001	451004
62004	124	4022,4023			1		30001	451005
62026	124	4024,4026			1		30001	451006
62027	124	4025,4027			1		30001	451007
62005	232	2	1		1		30002	451101
62006	232	2	5		1		30002	451102
62007	232	2	4		1		30002	451103
62008	232	2	2		1		30002	451104
62009	232	2	8		1		30002	451105
62010	232	2	7		1		30002	451106
62011	232	2	3		1		30002	451107
62028	124	4028,4029			1		30002	451108
62012	232	3	1		1		30003	451201
62013	232	3	5		1		30003	451202
62014	232	3	4		1		30003	451203
62015	232	3	2		1		30003	451204
62016	232	3	8		1		30003	451205
62017	232	3	7		1		30003	451206
62018	232	3	3		1		30003	451207
62019	232	4	1		1		30004	451301
62020	232	4	5		1		30004	451302
62021	232	4	4		1		30004	451303
62022	232	4	2		1		30004	451304
62023	232	4	8		1		30004	451305
62024	232	4	7		1		30004	451306
62025	232	4	3		1		30004	451307
