套装ID	套装激活件数	装备词缀ID	是否不被筛选	套装包含id列表	背包排序	保底库ID
10001	2,4	210001		51140,51120,51150,51110,51130	4	
10002	2,4	210002		52140,52120,52150,52110,52130	10	
10003	2,4	210003		53140,53120,53150,53110,53130	9	
10004	2,4	210004		54140,54120,54150,54110,54130	5	
10005	2,4	210005		55140,55120,55150,55110,55130	6	
10006	2,4	210006		56140,56120,56150,56110,56130	11	
10007	2,4	210007		57140,57120,57150,57110,57130	7	
10008	2,4	210008		58240,58220,58250,58210,58230	12	
10009	2,4	210009		59140,59120,59150,59110,59130	8	
10010	2,4	210010		60140,60120,60150,60110,60130	1	
10011	2,4	210011		61140,61120,61150,61110,61130	2	
10012	2,4	210012		62140,62120,62150,62110,62130	13	
10013	2,4	210013		63140,63120,63150,63110,63130	3	
14001	2,4	214001		71340,71320,71350,71310,71330	30	1
14002	2,4	214002		72340,72320,72350,72310,72330	26	1
14003	2,4	214003		73340,73320,73350,73310,73330	28	1
14004	2,4	214004		74340,74320,74350,74310,74330	22	1
15001	2,4	215001		75340,75320,75350,75310,75330	18	
15002	2,4	215002		76340,76320,76350,76310,76330	23	2
15003	2,4	215003		77340,77320,77350,77310,77330	19	
15004	2,4	215004	1	78340,78320,78350,78310,78330		
15005	2,4	215005		79340,79320,79350,79310,79330	27	2
15006	2,4	215006		80340,80320,80350,80310,80330	29	2
15007	2,4	215007		81340,81320,81350,81310,81330	20	1
15008	2,4	215008		82340,82320,82350,82310,82330	21	2
15009	1	215009		83330	16	
15010	1	215010		84330	15	
15011	1	215011		85330	14	
15012	1	215012	1	86330		
15013	1	215013		87330	17	
15014	2,4	215014		88340,88320,88350,88310,88330	24	1
15015	2,4	215015		89340,89320,89350,89310,89330	25	2
15016	2,4	215016		90340,90320,90350,90310,90330	31	2
15017	2,4	215017		91340,91320,91350,91310,91330	32	1
15018	2,4	215018		92340,92320,92350,92310,92330	33	2
15019	2,4	215019		93442,93422,93452,93412,93432	34	1
15020	2,4	215020		94442,94422,94452,94412,94432	35	2
15021	2,4	215021		95442,95422,95452,95412,95432	36	1
15022	2,4	215022		96442,96422,96452,96412,96432	37	2
15023	2,4	215023		97442,97422,97452,97412,97432	38	1
15024	2,4	215024		98442,98422,98452,98412,98432	39	2
15025	2,4	215025		20442,20422,20452,20412,20432	40	1
15026	2,4	215026		21442,21422,21452,21412,21432	41	2
15027	2,4	215027		27442,27422,27452,27412,27432	42	1
15028	2,4	215028		28442,28422,28452,28412,28432	43	2
15000	3,5		1	99340,99320,99350,99310,99330		
