索引ID	ScheduleID	试炼排序	开启天数	挑战任务watcher列表	统计值列表	地城ID	挑战因子组合预览	本关试用阵容	SGV名	地脉异常预览	战斗数据榜单
1	5022001	1	1	1,2,3,4,5	1,2,3	7100	10430,10431				
2	5022001	2	1	6,7,8,9,10	4,5,6	7102	10434,10435				
3	5022001	3	3	11,12,13,14,15	7,8,9	7104	10438,10439				
4	5022001	4	3	16,17,18,19,20	10,11	7105	10440,10441				
5	5022001	5	5	21,22,23,24,25	12,13,14	7101	10432,10433				
6	5022001	6	5	26,27,28,29,30	15,16,17	7103	10436,10437				
7	5054001	1	1	33,34	19	7107		17,18,24,14,15,20,21	SGV_ABILITY_Mist_Level	2,3	10701005,10701006,10701007,10701008
8	5054001	2	1	31,32	18	7106		11,12,13,14,15,16	SGV_ABILITY_Mist_Level	1	10701001,10701002,10701003,10701004
9	5054001	3	3	41,42	23	7111		32,33,15,14,21,19	SGV_ABILITY_Mist_Level	8	10701021,10701022,10701023,10701024
10	5054001	4	3	39,40	22	7110		17,30,21,31,20,29	SGV_ABILITY_Mist_Level	6,7	10701017,10701018,10701019,10701020
11	5054001	5	5	35,36	20	7108		11,22,23,15,24,25,26	SGV_ABILITY_Mist_Level	4	10701009,10701010,10701011,10701012
12	5054001	6	5	37,38	21	7109		27,28,19,24,13,20,29	SGV_ABILITY_Mist_Level	5	10701013,10701014,10701015,10701016
13	5054001	7	5	43,44	24	7112		11,12,17,18,22,27,28,30,32,33,13,14,15,16,19,20,21,23,24,25,26,29,31	SGV_ABILITY_Mist_Level	9	10701025,10701026,10701027,10701028
14	5114001	1	1	45,46	25	8301		34,35,36,37,38,39	SGV_ABILITY_Mist_Level	10	11801001,11801002,11801003,11801004
15	5114001	2	1	47,48	26	8302		40,41,42,43,44,37	SGV_ABILITY_Mist_Level	11	11801005,11801006,11801007,11801008
16	5114001	3	3	49,50	27	8303		45,40,46,47,43,38	SGV_ABILITY_Mist_Level	12,13	11801009,11801010,11801011,11801012
17	5114001	4	3	51,52	28	8304		48,49,50,51,52,53	SGV_ABILITY_Mist_Level	14	11801013,11801014,11801015,11801016
18	5114001	5	5	53,54	29	8305		40,54,46,55,37,43	SGV_ABILITY_Mist_Level	15	11801017,11801018,11801019,11801020
19	5114001	6	5	55,56	30	8306		56,57,58,59,60,61	SGV_ABILITY_Mist_Level	16	11801021,11801022,11801023,11801024
20	5114001	7	5	57,58	31	8307		34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61	SGV_ABILITY_Mist_Level	17	11801025,11801026,11801027,11801028
