configid	场景ID	子区域	区域类型	区域名称$text_name_name	区域舒适度上限	安全点	玩家安全点	负荷高	区域中心	区域旋转	蓝图传送点
1	2001	1	1	镇风岛	999999999	800,316,190,160		10000	0,0,0	0,0,0	806,316,194,160;808,316,194,160;808,316,196,160;806,316,196,160
2	2001	2	1	枕云岛	999999999	715,342,347,70		10000	0,0,0	0,0,0	716,343,352,70;716,343,354,70;714,343,352,70;714,343,354,70
3	2001	3	1	济烟岛	999999999	454,439,555,70		10000	0,0,0	0,0,0	455,440,564,70;455,440,566,70;453,440,564,70;453,440,566,70
4	2001	4	1	燎雾岛	999999999	150,525,800,70		10000	0,0,0	0,0,0	151,526,807,70;151,526,809,70;149,526,807,70;149,526,809,70
5	2002	1	1	数春峰	999999999	332,396,701,0		10000	0,0,0	0,0,0	343,396,700,0;345,396,700,0;347,396,700,0;347,396,701,0
6	2002	2	1	捉夏峰	999999999	376,411,572,-200		10000	0,0,0	0,0,0	368,411,557,-200;368,411,559,-200;366,411,557,-200;366,411,559,-200
7	2002	3	1	抱秋峰	999999999	565,443,544,-266		10000	0,0,0	0,0,0	568,443,528,-266;568,443,526,-266;567,443,530,-266;565,443,530,-266
8	2002	4	1	扫冬峰	999999999	540,460,475,-86		10000	0,0,0	0,0,0	540,460,481,-86;542,460,481,-86;540,460,483,-86;542,460,483,-86
9	2003	1	1	珠玑岛	999999999	555,228,600,-60		10000	0,0,0	0,0,0	559,229,608,-60;561,229,608,-60;563,229,608,-60;565,229,608,-60
10	2003	2	1	贝阙岛	999999999	266,201,487,60		10000	0,0,0	0,0,0	261,202,489,60;259,202,489,60;261,202,491,60;259,202,491,60
11	2003	3	1	蜃云岛	999999999	732,209,647,100		10000	0,0,0	0,0,0	738,209,653,100;736,209,653,100;736,209,651,100;738,209,651,100
12	2003	4	1	鱼笺岛	999999999	736,200,405,135		10000	0,0,0	0,0,0	733,201,402,135;731,201,402,135;729,201,402,135;727,201,402,135
13	2201	1	0	大厅	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	10000	0,0,0	0,0,0	
14	2201	2	0	东南侧内房	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	4000	-12.5,0,-5	0,90,0	
15	2201	3	0	西南侧内房	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	4000	-5,0,-15	0,0,0	
16	2201	4	0	北侧内房	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	4000	7.5,0,12.5	0,90,0	
17	2201	5	0	走廊	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	10000	0,5.3,0	0,0,0	
18	2201	6	0	二层东南侧内房	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	4000	-12.5,5.3,-5	0,90,0	
19	2201	7	0	二层西北侧内房	999999999	-11,2.48,1.25,45	-6.44,1.33,1.52	4000	5,5.3,15	0,0,0	
20	2202	1	0	大厅	999999999	-6.57,3.47,14,135	6.57,3.47,14	10000	0,0,0	0,0,0	
21	2202	2	0	东南侧内房	999999999	-6.57,3.47,14,135	6.57,3.47,14	4000	-12.5,0,-10	0,0,0	
22	2202	3	0	南侧内房	999999999	-6.57,3.47,14,135	6.57,3.47,14	4000	-12.5,0,5	0,-180,0	
23	2202	4	0	北侧内房	999999999	-6.57,3.47,14,135	6.57,3.47,14	4000	12.5,0,5	0,-180,0	
24	2202	5	0	走廊	999999999	-6.57,3.47,14,135	6.57,3.47,14	10000	0,5.3,0	0,0,0	
25	2202	6	0	二层南侧内房	999999999	-6.57,3.47,14,135	6.57,3.47,14	4000	-17.5,5.3,0	0,90,0	
26	2202	7	0	二层北侧内房	999999999	-6.57,3.47,14,135	6.57,3.47,14	4000	17.5,5.3,0	0,90,0	
27	2203	1	0	大厅	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	10000	2,0,0	0,90,0	
28	2203	2	0	西侧内房	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	4000	2,0,10	0,90,0	
29	2203	3	0	南侧内房	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	4000	-13,0,-5	0,90,0	
30	2203	4	0	北侧内房	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	4000	12,0,5	0,-90,0	
31	2203	5	0	走廊	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	10000	-10.5,5.3,0	0,-180,0	
