id	GroupId	战斗GroupId
1011	302001020	302001058
1012	302001021	302001065
1013	302001066	302001022
1014	302001067	302001023
1021	302001068	302001029
1022	302001069	302001030
1023	302001070	302001031
1024	302001071	302001032
1031	302001084	302001033
1032	302001089	302001034
1033	302001090	302001035
1034	302001095	302001037
1041	302001116	302001053
1042	302001117	302001054
1043	302001122	302001055
1044	302001123	302001056
1051	302001124	302001061
1052	302001127	302001062
1053	302001128	302001063
1054	302001131	302001064
2011	302001072	302001024
2012	302001073	302001025
2013	302001074	302001026
2014	302001075	302001028
2071	302001085	302001036
2072	302001086	302001038
2073	302001087	302001039
2074	302001088	302001040
2021	302001076	302001044
2022	302001077	302001045
2023	302001078	302001046
2024	302001079	302001050
2081	302001093	302001047
2082	302001094	302001048
2083	302001096	302001049
2084	302001097	302001051
2031	302001080	302001052
2032	302001081	302001057
2033	302001082	302001059
2034	302001083	302001060
2091	302001104	302001098
2092	302001105	302001099
2093	302001106	302001101
2094	302001107	302001102
2101	302001112	302001108
2102	302001113	302001109
2103	302001114	302001110
2104	302001115	302001111
2041	302001091	302001092
2042	302001100	302001103
2043	302001118	302001119
2044	302001120	302001121
2051	302001125	302001126
2052	302001129	302001130
2053	302001132	302001133
2054	302001134	302001135
2061	302001136	302001137
2062	302001138	302001139
2063	302001140	302001141
2064	302001142	302001143
