居民请求id	任务ID	组ID	随机权重	npcID	奖励ID
1001	7070101	1	20	1521	2010110
1002	7070001	1	20	1644	2010110
1003	7070201	1	20	1242	2010110
1004	7070301	1	20	1242	2010110
1005	7070401	1	20	1242	2010110
1006	7070501	1	20	1242	2010110
1007	7070601	1	50	1567	2010110
1008	7070701	1	50	1643	2010110
1009	7070801	1	50	1643	2010110
1010	7070901	1	20	1656	2010110
1011	7071001	1	20	1656	2010110
1012	7071101	1	20	1656	2010110
1013	7071201	1	50	1657	2010110
1014	7071301	1	20	1541	2010110
1015	7071401	1	20	1541	2010110
1031	7170001	3	20	2025	2020110
1032	7170101	3	20	2103	2020110
1033	7170201	3	20	2103	2020110
1034	7170301	3	20	2103	2020110
1035	7170401	3	20	2103	2020110
1036	7170501	3	20	2204	2020110
1037	7170601	3	20	2204	2020110
1038	7170701	3	20	2204	2020110
1039	7170801	3	20	2302	2020110
1040	7170901	3	20	2046	2020110
1041	7171001	3	20	2046	2020110
1042	7171101	3	20	2046	2020110
1043	7171201	3	20	2046	2020110
1044	7171301	3	20	2048	2020110
1045	7171401	3	20	2007	2020110
1061	7070101	5	20	1521	2010110
1062	7070001	5	20	1644	2010110
1063	7070201	5	20	1242	2010110
1064	7070301	5	20	1242	2010110
1065	7070401	5	20	1242	2010110
1066	7070501	5	20	1242	2010110
1067	7070901	5	20	1656	2010110
1068	7071001	5	20	1656	2010110
1069	7071101	5	20	1656	2010110
1070	7071301	5	20	1541	2010110
1071	7071401	5	20	1541	2010110
1072	7170001	6	20	2025	2020110
1077	7170501	6	20	2204	2020110
1078	7170601	6	20	2204	2020110
1079	7170701	6	20	2204	2020110
1080	7170801	6	20	2302	2020110
1081	7170901	6	20	2046	2020110
1082	7171001	6	20	2046	2020110
1083	7171101	6	20	2046	2020110
1084	7171201	6	20	2046	2020110
1085	7171301	6	20	2048	2020110
1101	7270101	10	20	3005	2030110
1102	7270201	10	50	3025	2030110
1103	7270501	10	20	3046	2030110
1104	7270601	10	20	3121	2030110
1105	7270701	10	50	3113	2030110
1106	7270801	10	20	3127	2030110
1107	7270901	10	20	3039	2030110
1108	7271001	10	20	3111	2030110
1109	7271201	10	50	3171	2030110
1110	7271301	10	20	3172	2030110
1111	7271401	10	20	3110	2030110
1112	7271501	10	20	3109	2030110
1113	7271601	10	20	3106	2030110
1114	7271701	10	20	3010	2030110
1115	7271801	10	50	3018	2030110
1116	7271901	10	20	3058	2030110
1201	7270101	11	20	3005	2030110
1202	7270501	11	20	3046	2030110
1203	7270601	11	20	3121	2030110
1204	7270801	11	20	3127	2030110
1205	7270901	11	20	3039	2030110
1206	7271001	11	20	3111	2030110
1207	7271301	11	20	3172	2030110
1208	7271401	11	20	3110	2030110
1209	7271501	11	20	3109	2030110
1210	7271601	11	20	3106	2030110
1211	7271701	11	20	3010	2030110
1212	7271901	11	20	3058	2030110
1301	7365301	12	20	4301	2040110
1302	7365401	12	20	4161	2040110
1303	7365501	12	50	4164	2040110
1304	7365601	12	50	4007	2040110
1305	7365701	12	20	4040	2040110
1306	7365801	12	20	4061	2040110
1307	7365901	12	20	4082	2040110
1308	7366001	12	20	4094	2040110
1309	7366101	12	20	4105	2040110
1310	7366201	12	50	4140	2040110
1311	7366301	12	20	4008	2040110
1312	7366401	12	20	4023	2040110
1313	7366501	12	20	4111	2040110
1314	7366601	12	20	4368	2040110
1315	7366701	12	50	4119	2040110
1316	7366801	12	20	4367	2040110
1317	7366901	12	20	4365	2040110
1318	7367001	12	50	4366	2040110
1319	7367101	12	50	4093	2040110
1320	7367201	12	20	4038	2040110
1401	7365301	13	20	4301	2040110
1402	7365401	13	20	4161	2040110
1403	7365701	13	20	4040	2040110
1404	7365801	13	20	4061	2040110
1405	7365901	13	20	4082	2040110
1406	7366001	13	20	4094	2040110
1407	7366101	13	20	4105	2040110
1408	7366301	13	20	4008	2040110
1409	7366401	13	20	4023	2040110
1410	7366501	13	20	4111	2040110
1411	7366601	13	20	4368	2040110
1412	7366801	13	20	4367	2040110
1413	7366901	13	20	4365	2040110
1414	7367201	13	20	4038	2040110
