ID,过期类型,过期时间参数1,过期时间参数2,过期时间参数3,返还道具列表,浮点舍入类型
200001,2,2021-02-28 04:00:00,,,,
200002,2,2021-02-28 04:00:00,,,,
200003,2,2021-02-28 04:00:00,,,,
200101,2,2021-01-06 04:00:00,,,,
200102,2,2021-01-06 04:00:00,,,,
220013,2,2021-01-18 04:00:00,,,,
107012,3,1,604800,,,
220022,2,2021-04-16 04:00:00,,,,
220029,2,2021-06-28 04:00:00,,,,
220030,2,2021-06-28 04:00:00,,,,
220031,2,2021-06-28 04:00:00,,,,
220037,2,2021-08-16 04:00:00,,,,
111027,2,2021-09-20 04:00:00,,,,
107015,2,2021-10-11 04:00:00,,,,
220042,2,2021-11-15 04:00:00,,,,
101582,2,2021-11-15 04:00:00,,,,
101593,2,2021-11-15 04:00:00,,,,
101594,2,2021-11-15 04:00:00,,,,
101595,2,2021-11-15 04:00:00,,,,
220046,2,2021-12-20 04:00:00,,,,
130022,2,2021-11-22 03:59:59,,,,
130023,2,2021-11-22 03:59:59,,,,
130024,2,2021-11-22 03:59:59,,,,
101692,2,2022-03-30 07:00:00,,,,
101693,2,2022-03-30 07:00:00,,,,
101700,2,2022-03-30 07:00:00,,,,
101701,2,2022-03-30 07:00:00,,,,
101702,2,2022-03-30 07:00:00,,,,
220049,2,2022-03-30 07:00:00,,,,
101709,2,2022-03-30 07:00:00,,,,
101710,2,2022-03-30 07:00:00,,,,
101714,2,2022-06-07 03:59:59,,,,
101715,2,2022-06-07 03:59:59,,,,
101719,2,2022-06-07 03:59:59,,,,
101720,2,2022-06-07 03:59:59,,,,
101737,2,2022-06-07 03:59:59,,,,
101738,2,2022-06-07 03:59:59,,,,
101739,2,2022-06-07 03:59:59,,,,
101740,2,2022-06-07 03:59:59,,,,
101741,2,2022-06-07 03:59:59,,,,
101742,2,2022-06-07 03:59:59,,,,
101743,2,2022-06-07 03:59:59,,,,
101744,2,2022-06-07 03:59:59,,,,
101745,2,2022-06-07 03:59:59,,,,
101746,2,2022-06-07 03:59:59,,,,
101747,2,2022-06-07 03:59:59,,,,
101748,2,2022-06-07 03:59:59,,,,
101749,2,2022-06-07 03:59:59,,,,
101750,2,2022-06-07 03:59:59,,,,
101751,2,2022-06-07 03:59:59,,,,
101752,2,2022-06-07 03:59:59,,,,
101753,2,2022-06-07 03:59:59,,,,
220052,2,2022-07-11 03:59:59,,,,
220061,2,2022-09-19 03:59:59,,,,
101935,2,2022-08-24 07:00:00,,,,
101936,2,2022-08-24 07:00:00,,,,
101937,2,2022-08-24 07:00:00,,,,
101945,2,2022-08-24 07:00:00,,,,
101946,2,2022-08-24 07:00:00,,,,
101854,2,2022-08-24 07:00:00,,,,
101855,2,2022-08-24 07:00:00,,,,
101856,2,2022-08-24 07:00:00,,,,
101857,2,2022-08-24 07:00:00,,,,
101858,2,2022-08-24 07:00:00,,,,
101859,2,2022-08-24 07:00:00,,,,
101801,2,2022-08-24 07:00:00,,,,
101802,2,2022-08-24 07:00:00,,,,
101803,2,2022-08-24 07:00:00,,,,
101804,2,2022-08-24 07:00:00,,,,
101805,2,2022-08-24 07:00:00,,,,
101806,2,2022-08-24 07:00:00,,,,
101807,2,2022-08-24 07:00:00,,,,
101808,2,2022-08-24 07:00:00,,,,
101834,2,2022-08-24 07:00:00,,,,
101917,2,2022-08-24 07:00:00,,,,
101908,2,2022-08-24 07:00:00,,,,
101798,2,2022-08-24 07:00:00,,,,
101799,2,2022-08-24 07:00:00,,,,
101800,2,2022-08-24 07:00:00,,,,
101770,2,2022-08-24 07:00:00,,,,
101771,2,2022-08-24 07:00:00,,,,
101772,2,2022-08-24 07:00:00,,,,
101773,2,2022-08-24 07:00:00,,,,
101760,2,2022-08-24 07:00:00,,,,
101866,2,2022-08-24 07:00:00,,,,
101997,2,2022-09-26 03:59:59,,,,
101998,2,2022-09-26 03:59:59,,,,
101910,2,2022-08-24 07:00:00,,,,
220063,2,2022-09-28 07:00:00,,,,
220064,2,2022-10-31 03:59:59,,,,
120063,2,2022-10-31 03:59:59,,,,
101835,2,2022-08-24 07:00:00,,,,
101902,2,2022-08-24 07:00:00,,,,
220073,2,2022-11-28 03:59:59,,,,
120156,2,2022-11-28 03:59:59,,,,
120159,2,2022-11-28 03:59:59,,,,
120160,2,2022-11-28 03:59:59,,,,
120161,2,2022-11-28 03:59:59,,,,
