ID,道具ID,CardID,卡面类型,获取条件,对应商品ID列表,获取条件参数
110101,334000,1101,1,0,218001,
110201,334023,1102,1,0,218139,
110301,334001,1103,1,0,218002,
110401,334002,1104,1,0,218003,
110501,334003,1105,1,0,218004,
120101,334025,1201,1,0,218143,
120201,334004,1202,1,0,218005,
120301,334005,1203,1,0,218006,
130101,334006,1301,1,0,218007,
130201,334007,1302,1,0,218008,
130301,334008,1303,1,0,218009,
130501,334010,1305,1,0,218011,
140101,334011,1401,1,0,218012,
140201,334012,1402,1,0,218013,
140301,334013,1403,1,0,218014,
140401,334024,1404,1,0,,
150101,334014,1501,1,0,218015,
150201,334015,1502,1,0,218016,
160101,334016,1601,1,0,218017,
160201,334017,1602,1,0,218018,
170101,334018,1701,1,0,218019,
220101,334019,2201,1,0,218020,
220201,334026,2202,1,0,218145,
230101,334020,2301,1,0,218021,
250101,334021,2501,1,0,218022,
260101,334022,2601,1,0,218023,
270101,334027,2701,1,0,218147,
2110111,334500,211011,1,1,,10
2110211,334523,211021,1,1,,10
2110311,334501,211031,1,1,,10
2110411,334502,211041,1,1,,10
2110511,334503,211051,1,1,,10
2120111,334525,212011,1,1,,10
2120211,334504,212021,1,1,,10
2120311,334505,212031,1,1,,10
2130111,334506,213011,1,1,,10
2130211,334507,213021,1,1,,10
2130311,334508,213031,1,1,,10
2130511,334510,213051,1,1,,10
2140111,334511,214011,1,1,,10
2140211,334512,214021,1,1,,10
2140311,334513,214031,1,1,,10
2140411,334524,214041,1,1,,10
2150111,334514,215011,1,1,,10
2150211,334515,215021,1,1,,10
2160111,334516,216011,1,1,,10
2160211,334517,216021,1,1,,10
2170111,334518,217011,1,1,,10
2220111,334519,222011,1,1,,10
2220211,334526,222021,1,1,,10
2230111,334520,223011,1,1,,10
2250111,334521,225011,1,1,,10
2260111,334522,226011,1,1,,10
2270111,334527,227011,1,1,,10
3111011,335000,311101,1,0,218047,
3111021,335001,311102,1,0,218048,
3111031,335002,311103,1,0,218049,
3112011,335003,311201,1,0,218050,
3112021,335004,311202,1,0,218051,
3112031,335005,311203,1,0,218052,
3113011,335006,311301,1,0,218053,
3113021,335007,311302,1,0,218054,
3113031,335008,311303,1,0,218055,
3114011,335009,311401,1,0,218056,
3114021,335010,311402,1,0,218057,
3114031,335011,311403,1,0,218058,
3115011,335012,311501,1,0,218059,
3115021,335013,311502,1,0,218060,
3115031,335014,311503,1,0,218061,
3120011,335015,312001,1,0,218062,
3120021,335016,312002,1,0,218063,
3120031,335017,312003,1,0,218064,
3120041,335018,312004,1,0,218065,
3120051,335019,312005,1,0,218066,
3120061,335020,312006,1,0,218067,
3121011,335021,312101,1,0,218068,
3121021,335022,312102,1,0,218069,
3122011,335023,312201,1,0,218070,
3122021,335024,312202,1,0,218071,
3123011,335025,312301,1,0,218072,
3123021,335026,312302,1,0,218073,
3124011,335027,312401,1,0,218074,
3124021,335028,312402,1,0,218075,
3125011,335029,312501,1,0,218076,
3125021,335030,312502,1,0,218077,
3126011,335031,312601,1,0,218078,
3126021,335032,312602,1,0,218079,
3127011,335033,312701,1,0,218080,
3127021,335034,312702,1,0,218081,
3210011,336000,321001,1,0,218082,
3210021,336001,321002,1,0,218083,
3210031,336002,321003,1,0,218084,
3210041,336003,321004,1,0,218085,
3210051,336004,321005,1,0,218086,
3210061,336005,321006,1,0,218087,
3220011,336006,322001,1,0,218088,
3220021,336007,322002,1,0,218089,
3220031,336008,322003,1,0,218090,
3220041,336009,322004,1,0,218091,
3220051,336010,322005,1,0,218092,
3220061,336011,322006,1,0,218093,
3220071,336012,322007,1,0,218094,
3220081,336013,322008,1,0,218095,
3220091,336014,322009,1,0,218096,
3220101,336015,322010,1,0,218097,
3220111,336016,322011,1,0,218098,
3220121,336017,322012,1,0,218099,
3230011,336018,323001,1,0,218100,
3230021,336019,323002,1,0,218101,
3311011,337000,331101,1,0,218102,
3311021,337001,331102,1,0,218103,
3312011,337002,331201,1,0,218104,
3312021,337003,331202,1,0,218105,
3313011,337004,331301,1,0,218106,
3313021,337005,331302,1,0,218107,
3314011,337006,331401,1,0,218108,
3314021,337007,331402,1,0,218109,
3315011,337008,331501,1,0,218110,
3315021,337009,331502,1,0,218111,
3316011,337010,331601,1,0,218112,
3316021,337011,331602,1,0,218113,
3317011,337012,331701,1,0,218114,
3317021,337013,331702,1,0,218115,
3320011,337014,332001,1,0,218116,
3320021,337015,332002,1,0,218117,
3320031,337016,332003,1,0,218118,
3320041,337017,332004,1,0,218119,
3320051,337018,332005,1,0,218120,
3320061,337019,332006,1,0,218121,
3320071,337020,332007,1,0,218122,
3320081,337021,332008,1,0,218123,
3320091,337022,332009,1,0,218124,
3320101,337023,332010,1,0,218125,
3320111,337024,332011,1,0,218126,
3320121,337025,332012,1,0,218127,
3320131,337026,332013,1,0,218128,
3320141,337027,332014,1,0,218129,
3320151,337028,332015,1,0,218130,
3330011,337029,333001,1,0,218131,
3330021,337030,333002,1,0,218132,
3330031,337031,333003,1,0,218133,
3330041,337032,333004,1,0,218134,
3330051,337033,333005,1,0,218135,
3330061,337034,333006,1,0,218136,
3330071,337035,333007,1,0,218137,
3330081,337036,333008,1,0,218138,
