地图编号,地图名称$text_name_Name,地图描述$text_name_Desc,解锁描述$text_name_UnlockDesc,地图缩略图,建造机关数量上限,对应地城编号,对应入口点,解锁天数,是否教学关,前置地图编号
9999,初程,,（test）,UI_TheatreMechanicusMap_02,14,7400,376,1,1,
1,一.枕仙桥,本次棋阵中，敌人将从一个方向来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_02,14,7401,376,1,0,9999
2,二.井生秋,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_03,14,7402,376,1,0,1
3,三.春几回,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_04,14,7404,376,1,0,2
4,四.梦登楼,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_05,14,7405,376,1,0,3
5,五.双燕来,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_01,14,7403,376,2,0,4
6,六.枕仙桥,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_02,14,7406,376,2,0,5
7,七.井生秋,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_03,14,7407,376,3,0,6
8,八.春几回,本次棋阵中，敌人将从三个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_04,14,7409,376,3,0,7
9,九.梦登楼,本次棋阵中，敌人将从三个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_05,14,7410,376,4,0,8
10,十.双燕来,本次棋阵中，敌人将从两个方向同时来袭。如果想要获得胜利，需要更仔细地观察棋阵，还有棋阵中敌人来袭的方式。,（test）,UI_TheatreMechanicusMap_01,14,7408,376,4,0,9
10000,（test）测试关,（test）,（test）,UI_TheatreMechanicusMap_05,14,7411,376,4,0,9999
